#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         320    -6.78367    -6.65656  0.00952079
         321    -6.77201    -6.65692  0.00949792
         322    -6.75395    -6.65722   0.0094732
         323    -6.73147    -6.65745  0.00944666
         324    -6.70345    -6.65759  0.00941857
         325    -6.67186    -6.65764  0.00938969
         326     -6.6392    -6.65758  0.00936106
         327    -6.60603    -6.65742  0.00933376
         328     -6.5759    -6.65717  0.00930861
         329    -6.54976    -6.65685  0.00928604
         330    -6.53037    -6.65646  0.00926581
         331    -6.51987    -6.65605    0.009247
         332    -6.51615    -6.65563  0.00922874
         333    -6.52007    -6.65522     0.00921
         334    -6.52848    -6.65484  0.00919024
         335    -6.54247    -6.65451  0.00916893
         336    -6.56264    -6.65423  0.00914572
         337    -6.58215    -6.65402  0.00912108
         338    -6.60175    -6.65387  0.00909541
         339    -6.62014    -6.65377  0.00906912
         340    -6.63577    -6.65371   0.0090426
         341     -6.6475    -6.65369   0.0090161
         342    -6.65531     -6.6537  0.00898974
         343    -6.65823    -6.65371  0.00896354
         344    -6.65641    -6.65372  0.00893749
         345    -6.64665     -6.6537   0.0089116
         346    -6.63463    -6.65365  0.00888602
         347    -6.61968    -6.65355  0.00886095
         348    -6.60657    -6.65341  0.00883652
         349    -6.59877    -6.65326  0.00881258
         350     -6.5961    -6.65309  0.00878892
         351    -6.60051    -6.65294  0.00876515
         352    -6.61047    -6.65282  0.00874108
         353    -6.62366    -6.65274  0.00871671
         354    -6.63754     -6.6527  0.00869219
         355    -6.64947    -6.65269  0.00866771
         356     -6.6594    -6.65271  0.00864339
         357    -6.66941    -6.65275   0.0086193
         358    -6.68027    -6.65283  0.00859557
         359    -6.69124    -6.65294  0.00857229
         360    -6.70283    -6.65308   0.0085496
         361    -6.71297    -6.65324  0.00852753
         362    -6.72177    -6.65343  0.00850607
         363    -6.72675    -6.65363  0.00848504
         364    -6.72832    -6.65384  0.00846421
         365    -6.72801    -6.65404  0.00844346
         366    -6.72574    -6.65424  0.00842266
         367    -6.72399    -6.65443  0.00840185
         368     -6.7254    -6.65462  0.00838123
         369    -6.72847    -6.65482  0.00836091
         370    -6.73512    -6.65504  0.00834113
         371    -6.74329    -6.65527  0.00832204
         372    -6.75189    -6.65553  0.00830372
         373    -6.75887    -6.65581  0.00828608
         374    -6.75928    -6.65609  0.00826854
         375    -6.74982    -6.65634  0.00825027
         376    -6.73085    -6.65654   0.0082307
         377     -6.7051    -6.65667  0.00820988
         378    -6.67535    -6.65671  0.00818831
         379    -6.64692    -6.65669  0.00816674
         380    -6.62219     -6.6566  0.00814576
         381    -6.60213    -6.65645  0.00812563
         382    -6.58816    -6.65628  0.00810633
         383    -6.57661    -6.65607  0.00808783
         384    -6.56674    -6.65584  0.00807011
         385    -6.55713    -6.65558  0.00805322
         386    -6.54687     -6.6553  0.00803728
         387     -6.5421    -6.65501  0.00802184
         388    -6.54277    -6.65472  0.00800637
         389    -6.54921    -6.65444  0.00799039
         390    -6.55791     -6.6542  0.00797373
         391    -6.56476    -6.65397  0.00795662
         392     -6.5716    -6.65376  0.00793909
         393    -6.58196    -6.65358  0.00792099
         394    -6.59834    -6.65344  0.00790213
         395    -6.61966    -6.65335  0.00788259
         396    -6.64608    -6.65333   0.0078627
         397    -6.67601    -6.65339  0.00784311
         398    -6.70325    -6.65351   0.0078244
         399    -6.72455    -6.65369  0.00780681
         400    -6.73502     -6.6539  0.00778994
         401    -6.73489     -6.6541  0.00777314
         402     -6.7249    -6.65427   0.0077558
         403    -6.70455     -6.6544  0.00773755
         404    -6.67688    -6.65445   0.0077186
         405    -6.64668    -6.65443  0.00769957
         406    -6.61874    -6.65435   0.0076811
         407    -6.59924    -6.65421  0.00766343
         408    -6.58908    -6.65405   0.0076463
         409    -6.59117     -6.6539  0.00762916
         410    -6.60429    -6.65378  0.00761151
         411    -6.62619    -6.65371  0.00759328
         412    -6.65036     -6.6537  0.00757486
         413    -6.67366    -6.65375  0.00755667
         414    -6.69512    -6.65385  0.00753908
         415    -6.70724    -6.65398  0.00752201
         416    -6.71061    -6.65411  0.00750516
         417    -6.70503    -6.65424  0.00748815
         418    -6.68989    -6.65432  0.00747073
         419    -6.66917    -6.65436  0.00745298
         420    -6.64506    -6.65434  0.00743527
         421    -6.62488    -6.65427  0.00741794
         422    -6.61198    -6.65417  0.00740103
         423    -6.60592    -6.65405  0.00738442
         424    -6.61102    -6.65395   0.0073677
         425    -6.62293    -6.65388  0.00735072
         426    -6.63923    -6.65384  0.00733355
         427    -6.65997    -6.65386  0.00731639
         428     -6.6828    -6.65392  0.00729961
         429    -6.70396    -6.65404  0.00728352
         430    -6.72306     -6.6542  0.00726835
         431    -6.73912     -6.6544  0.00725416
         432    -6.75118    -6.65462  0.00724083
         433    -6.76011    -6.65487   0.0072282
         434    -6.76582    -6.65512  0.00721607
         435    -6.77217    -6.65539  0.00720449
         436    -6.77742    -6.65567   0.0071934
         437    -6.78166    -6.65596  0.00718272
         438    -6.78513    -6.65625  0.00717237
         439    -6.78896    -6.65656   0.0071624
         440     -6.7878    -6.65685  0.00715233
         441    -6.77761    -6.65713  0.00714135
         442    -6.75915    -6.65736  0.00712892
         443     -6.7288    -6.65752  0.00711465
         444    -6.68666    -6.65759  0.00709893
         445     -6.6395    -6.65755   0.0070831
         446     -6.5881    -6.65739  0.00706893
         447    -6.54244    -6.65713  0.00705779
         448    -6.50834     -6.6568  0.00704984
         449    -6.49094    -6.65643  0.00704381
         450    -6.48985    -6.65606  0.00703788
         451     -6.5028    -6.65572  0.00703048
         452    -6.53101    -6.65544  0.00702033
         453    -6.56654    -6.65525  0.00700758
         454    -6.60091    -6.65513  0.00699317
         455    -6.63544    -6.65509  0.00697793
         456    -6.66283     -6.6551  0.00696265
         457     -6.6793    -6.65516  0.00694762
         458    -6.68628    -6.65522  0.00693278
         459    -6.68604    -6.65529    0.006918
         460     -6.6804    -6.65535  0.00690318
         461    -6.66654    -6.65537  0.00688824
         462    -6.65002    -6.65536  0.00687334
         463    -6.63497    -6.65531  0.00685864
         464    -6.61937    -6.65524   0.0068443
         465    -6.60712    -6.65513  0.00683036
         466    -6.60193    -6.65502  0.00681666
         467    -6.60322    -6.65491  0.00680296
         468    -6.60649     -6.6548  0.00678921
         469      -6.612    -6.65471  0.00677535
         470    -6.61688    -6.65463  0.00676141
         471    -6.61951    -6.65456  0.00674747
         472    -6.62014    -6.65449  0.00673357
         473    -6.62165    -6.65442  0.00671969
         474    -6.62065    -6.65434  0.00670589
         475    -6.62227    -6.65428  0.00669211
         476    -6.62761    -6.65422  0.00667829
         477    -6.63889    -6.65419  0.00666436
         478    -6.65623    -6.65419  0.00665042
         479    -6.67885    -6.65424  0.00663674
         480    -6.70171    -6.65434  0.00662365
         481    -6.72675    -6.65449  0.00661159
         482    -6.74821    -6.65469  0.00660073
         483    -6.76392    -6.65491  0.00659094
         484    -6.77062    -6.65515  0.00658165
         485    -6.76854    -6.65539  0.00657223
         486    -6.75955     -6.6556   0.0065622
         487    -6.74549    -6.65579  0.00655132
         488    -6.72316    -6.65592  0.00653935
         489    -6.69632    -6.65601   0.0065265
         490    -6.66839    -6.65603  0.00651323
         491    -6.64428    -6.65601  0.00650001
         492    -6.62446    -6.65594  0.00648712
         493    -6.61373    -6.65586  0.00647452
         494    -6.61026    -6.65577  0.00646207
         495    -6.61566    -6.65569  0.00644953
         496    -6.62325    -6.65562  0.00643686
         497     -6.6361    -6.65558  0.00642402
         498     -6.6496    -6.65557  0.00641114
         499    -6.66196    -6.65558   0.0063983
         500     -6.6708    -6.65561  0.00638558
