#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         453     1.11097      1.2062    0.006851
         454     1.14669     1.20607  0.00683716
         455      1.1799     1.20601  0.00682237
         456      1.2071     1.20601  0.00680741
         457     1.22608     1.20606  0.00679266
         458       1.236     1.20612  0.00677814
         459     1.23727     1.20619  0.00676371
         460     1.23129     1.20624  0.00674923
         461      1.2199     1.20627  0.00673466
         462     1.20527     1.20627  0.00672008
         463     1.18978     1.20624  0.00670566
         464     1.17584     1.20617  0.00669153
         465     1.16554     1.20608  0.00667771
         466     1.16005     1.20598  0.00666411
         467     1.15941     1.20588  0.00665058
         468      1.1626     1.20579  0.00663702
         469     1.16785     1.20571  0.00662336
         470     1.17321     1.20564  0.00660963
         471     1.17703     1.20558  0.00659587
         472     1.17846     1.20552  0.00658215
         473     1.17765     1.20547   0.0065685
         474     1.17586      1.2054  0.00655494
         475     1.17523     1.20534  0.00654144
         476     1.17824     1.20528  0.00652795
         477     1.18696     1.20524  0.00651438
         478     1.20231     1.20524  0.00650075
         479     1.22366     1.20528  0.00648729
         480     1.24871     1.20537  0.00647441
         481     1.27419     1.20551  0.00646253
         482     1.29662      1.2057  0.00645189
         483     1.31306     1.20592  0.00644236
         484     1.32161     1.20616  0.00643348
         485      1.3216      1.2064  0.00642461
         486     1.31331     1.20662  0.00641516
         487     1.29767     1.20681  0.00640471
         488     1.27627     1.20695  0.00639317
         489     1.25115     1.20704  0.00638073
         490      1.2249     1.20707  0.00636782
         491     1.20044     1.20706  0.00635486
         492     1.18084     1.20701  0.00634217
         493     1.16846     1.20693  0.00632979
         494     1.16441     1.20684  0.00631756
         495     1.16815     1.20676  0.00630528
         496      1.1777     1.20671  0.00629284
         497     1.19041     1.20667  0.00628026
         498     1.20374     1.20667  0.00626765
         499     1.21573     1.20669  0.00625512
         500     1.22517     1.20672  0.00624272
