#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         293     1.00408    0.964887  0.00685613
         294    0.980981    0.964941  0.00683303
         295    0.954076    0.964905  0.00680997
         296    0.928176     0.96478  0.00678809
         297    0.908066     0.96459  0.00676792
         298    0.897638    0.964365  0.00674894
         299    0.899262    0.964147  0.00672988
         300    0.912712    0.963976  0.00670963
         301    0.935038     0.96388  0.00668802
         302    0.961148     0.96387  0.00666589
         303    0.985353    0.963941  0.00664426
         304     1.00307     0.96407  0.00662365
         305     1.01168    0.964226  0.00660378
         306     1.01131     0.96438  0.00658399
         307      1.0041    0.964509  0.00656381
         308    0.993837    0.964605  0.00654319
         309    0.984482    0.964669  0.00652233
         310    0.978804    0.964715  0.00650145
         311    0.977867    0.964757  0.00648068
         312    0.981564    0.964811  0.00646014
         313    0.989272    0.964889  0.00643997
         314     1.00038    0.965002  0.00642045
         315      1.0137    0.965157  0.00640193
         316     1.02747    0.965354  0.00638471
         317     1.03959    0.965588  0.00636886
         318     1.04809    0.965847  0.00635411
         319     1.05177    0.966117   0.0063399
         320     1.05036     0.96638  0.00632555
         321     1.04408    0.966622  0.00631048
         322     1.03352     0.96683   0.0062943
         323     1.01923    0.966992   0.0062769
         324     1.00171    0.967099  0.00625844
         325    0.981437    0.967143  0.00623934
         326    0.959234    0.967119  0.00622025
         327    0.936542    0.967025  0.00620193
         328    0.915141    0.966867  0.00618504
         329    0.896845    0.966654   0.0061699
         330    0.882995    0.966401  0.00615641
         331    0.874311    0.966123  0.00614409
         332    0.871008    0.965836  0.00613226
         333    0.872819    0.965557  0.00612021
         334    0.879207    0.965298  0.00610734
         335     0.88923    0.965071  0.00609333
         336    0.901691    0.964883  0.00607811
         337    0.915469    0.964736  0.00606184
         338    0.929334    0.964631  0.00604482
         339    0.942192    0.964565  0.00602735
         340    0.953146    0.964532  0.00600971
         341    0.961453    0.964523   0.0059921
         342    0.966553    0.964528  0.00597458
         343    0.968122    0.964539  0.00595717
         344    0.966055    0.964543  0.00593985
         345    0.960614    0.964532  0.00592265
         346    0.952427    0.964497  0.00590563
         347     0.94293    0.964435  0.00588894
         348    0.934033    0.964347  0.00587267
         349    0.927873    0.964243  0.00585677
         350    0.926107    0.964134  0.00584105
         351    0.929192    0.964034  0.00582526
