#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         569     1.21817     1.20175  0.00166056
         570     1.23224      1.2018   0.0016585
         571     1.22982     1.20185  0.00165632
         572     1.21094     1.20186  0.00165351
         573     1.20806     1.20188  0.00165065
         574     1.17848     1.20183  0.00164828
         575      1.1867     1.20181  0.00164563
         576     1.19449      1.2018  0.00164282
         577     1.19143     1.20178  0.00164007
         578     1.19417     1.20176  0.00163728
         579     1.20971     1.20178  0.00163451
         580     1.21318      1.2018  0.00163181
         581     1.19958     1.20179  0.00162901
         582     1.21144     1.20181   0.0016263
         583     1.19733      1.2018  0.00162352
         584     1.17451     1.20176  0.00162142
         585     1.19118     1.20174  0.00161875
         586     1.19173     1.20172  0.00161607
         587     1.18034     1.20168  0.00161373
         588     1.19125     1.20167  0.00161108
         589     1.19698     1.20166  0.00160837
         590     1.18305     1.20163  0.00160595
         591     1.18558      1.2016  0.00160346
         592     1.18566     1.20157  0.00160098
         593     1.19125     1.20156  0.00159838
         594     1.19533     1.20155  0.00159572
         595     1.18726     1.20152  0.00159322
         596     1.20357     1.20152  0.00159055
         597     1.20129     1.20152  0.00158788
         598     1.18259     1.20149  0.00158554
         599     1.18193     1.20146  0.00158323
         600     1.16384      1.2014  0.00158184
         601     1.18868     1.20138  0.00157935
         602     1.20067     1.20138  0.00157672
         603     1.20392     1.20138  0.00157411
         604     1.21093      1.2014  0.00157159
         605      1.2293     1.20144  0.00156967
         606     1.24271     1.20151  0.00156855
         607      1.2284     1.20155  0.00156659
         608     1.23197      1.2016  0.00156482
         609     1.22172     1.20164  0.00156259
         610     1.18849     1.20162  0.00156018
         611     1.20053     1.20161  0.00155763
         612     1.18422     1.20158  0.00155534
         613     1.17294     1.20154  0.00155351
         614     1.16371     1.20148   0.0015522
         615      1.1711     1.20143  0.00155046
         616     1.17572     1.20139  0.00154851
         617      1.1811     1.20135  0.00154634
         618     1.19051     1.20134  0.00154394
         619     1.21489     1.20136   0.0015416
         620     1.20537     1.20136  0.00153913
         621     1.24603     1.20144  0.00153833
         622     1.22729     1.20148  0.00153642
         623     1.23346     1.20153  0.00153481
         624     1.22394     1.20156  0.00153277
         625     1.21745     1.20159  0.00153053
         626     1.21818     1.20162  0.00152831
         627     1.19763     1.20161  0.00152589
         628     1.21026     1.20162  0.00152352
         629     1.20942     1.20164  0.00152115
         630     1.19721     1.20163  0.00151875
         631     1.18786     1.20161   0.0015165
         632     1.19928      1.2016  0.00151411
         633     1.18502     1.20158  0.00151194
         634     1.20054     1.20158  0.00150956
         635     1.19928     1.20157  0.00150718
         636     1.21915      1.2016  0.00150507
