#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         416     1.06527     1.12989  0.00700658
         417     1.07694     1.12977  0.00699093
         418     1.08757     1.12967  0.00697493
         419     1.09686     1.12959  0.00695873
         420     1.10392     1.12953  0.00694243
         421     1.10738     1.12947  0.00692613
         422     1.10602     1.12942  0.00690994
         423     1.09951     1.12935  0.00689397
         424     1.08911     1.12925  0.00687836
         425     1.07795     1.12913  0.00686324
         426     1.07024     1.12899  0.00684852
         427     1.06969     1.12885  0.00683389
         428     1.07756     1.12874  0.00681897
         429     1.09199     1.12865  0.00680362
         430     1.10917      1.1286  0.00678795
         431     1.12561      1.1286   0.0067722
         432     1.13931     1.12862  0.00675657
         433     1.14961     1.12867  0.00674114
         434     1.15642     1.12873  0.00672591
         435     1.15978     1.12881  0.00671083
         436        1.16     1.12888  0.00669582
         437     1.15775     1.12894  0.00668082
         438     1.15397       1.129  0.00666581
         439     1.14954     1.12905  0.00665079
         440     1.14504     1.12908  0.00663577
         441     1.14091     1.12911  0.00662078
         442     1.13766     1.12913  0.00660583
         443     1.13576     1.12914  0.00659094
         444     1.13526     1.12916  0.00657611
         445     1.13544     1.12917  0.00656134
         446     1.13493     1.12919  0.00654664
         447     1.13226     1.12919    0.006532
         448     1.12633     1.12919  0.00651743
         449     1.11642     1.12916  0.00650297
         450     1.10191      1.1291   0.0064888
         451     1.08235     1.12899  0.00647524
         452     1.05835     1.12884   0.0064628
         453      1.0329     1.12863  0.00645201
         454     1.01165     1.12837  0.00644294
         455     1.00032     1.12809  0.00643492
         456     1.00044     1.12781  0.00642689
         457     1.00808     1.12754  0.00641817
         458     1.01713      1.1273  0.00640868
         459     1.02316     1.12708  0.00639873
         460     1.02475     1.12685  0.00638869
         461      1.0229     1.12663  0.00637881
         462        1.02      1.1264  0.00636917
         463     1.01895     1.12617  0.00635964
         464     1.02226     1.12594  0.00634988
         465     1.03121     1.12574  0.00633949
         466     1.04525     1.12557  0.00632824
         467      1.0622     1.12543  0.00631614
         468     1.07924     1.12533  0.00630342
         469     1.09421     1.12526  0.00629033
         470     1.10638     1.12522  0.00627707
         471     1.11648     1.12521  0.00626377
         472     1.12593     1.12521   0.0062505
         473     1.13593     1.12523  0.00623733
         474     1.14684     1.12528  0.00622434
         475     1.15808     1.12534  0.00621162
         476     1.16845     1.12544  0.00619923
         477     1.17662     1.12554  0.00618716
         478     1.18167     1.12566  0.00617533
         479     1.18339     1.12578  0.00616361
         480     1.18235      1.1259   0.0061519
         481     1.17946     1.12601  0.00614012
         482     1.17548     1.12611  0.00612824
         483     1.17045      1.1262  0.00611623
         484     1.16381     1.12628  0.00610409
         485     1.15506     1.12634  0.00609179
         486     1.14458     1.12638  0.00607938
         487     1.13383     1.12639  0.00606691
         488     1.12463     1.12639  0.00605448
         489     1.11785     1.12637  0.00604212
         490     1.11279     1.12635  0.00602986
         491     1.10786     1.12631  0.00601769
         492     1.10175     1.12626  0.00600567
         493     1.09406     1.12619  0.00599384
         494     1.08544     1.12611  0.00598228
         495     1.07737     1.12601    0.005971
         496     1.07175      1.1259  0.00595997
         497     1.07033     1.12579  0.00594902
         498     1.07396     1.12569  0.00593799
         499     1.08194      1.1256  0.00592673
         500      1.0921     1.12553  0.00591526
         501     1.10171     1.12548  0.00590364
         502     1.10848     1.12545  0.00589198
         503     1.11103     1.12542  0.00588034
         504     1.10862     1.12539  0.00586876
         505     1.10095     1.12534  0.00585734
         506     1.08817     1.12527  0.00584623
         507     1.07153     1.12516  0.00583566
         508     1.05414     1.12502  0.00582584
