#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         310      -0.488   -0.461006  0.00285329
         311       -0.52   -0.461196  0.00285041
         312      -0.504   -0.461333  0.00284457
         313      -0.424   -0.461214  0.00283799
         314      -0.392   -0.460994   0.0028375
         315       -0.48   -0.461054  0.00282913
         316      -0.496   -0.461165  0.00282234
         317      -0.376   -0.460896  0.00282619
         318      -0.336   -0.460503  0.00284446
         319      -0.432   -0.460414  0.00283695
         320      -0.496   -0.460525  0.00283026
         321      -0.584    -0.46091  0.00284747
         322       -0.44   -0.460845  0.00283936
         323      -0.464   -0.460854  0.00283059
         324      -0.432   -0.460765  0.00282325
         325      -0.424   -0.460652  0.00281683
         326       -0.44   -0.460589   0.0028089
         327      -0.504   -0.460722  0.00280345
         328      -0.408   -0.460561  0.00279951
         329      -0.448   -0.460523  0.00279126
         330       -0.52   -0.460703  0.00278861
         331      -0.528   -0.460906  0.00278759
         332      -0.456   -0.460892  0.00277923
         333       -0.44   -0.460829  0.00277159
         334      -0.432   -0.460743  0.00276464
         335       -0.44   -0.460681  0.00275708
         336       -0.44   -0.460619  0.00274956
         337      -0.424    -0.46051  0.00274355
         338      -0.496   -0.460615  0.00273744
         339      -0.464   -0.460625  0.00272938
         340      -0.504   -0.460753  0.00272433
         341      -0.552   -0.461021  0.00272946
         342       -0.48   -0.461076  0.00272204
         343      -0.496   -0.461178  0.00271601
         344      -0.384   -0.460953  0.00271736
         345      -0.528   -0.461148  0.00271643
         346      -0.368   -0.460879  0.00272188
         347       -0.44   -0.460818   0.0027147
         348       -0.48   -0.460874  0.00270746
         349      -0.376    -0.46063   0.0027106
         350      -0.424   -0.460526  0.00270488
         351      -0.488   -0.460604   0.0026983
         352       -0.36   -0.460318  0.00270573
         353      -0.496   -0.460419  0.00269996
         354      -0.424   -0.460316  0.00269429
         355      -0.504   -0.460439  0.00268951
         356      -0.496   -0.460539  0.00268381
         357       -0.44   -0.460482  0.00267691
         358      -0.456   -0.460469  0.00266946
         359      -0.456   -0.460457  0.00266205
         360      -0.472   -0.460489  0.00265485
         361       -0.44   -0.460432   0.0026481
         362      -0.424   -0.460331   0.0026427
         363      -0.496    -0.46043  0.00263724
         364      -0.448   -0.460396  0.00263022
         365      -0.472   -0.460427  0.00262321
         366      -0.376   -0.460197  0.00262616
         367      -0.416   -0.460076  0.00262177
         368      -0.536   -0.460283  0.00262275
         369      -0.528   -0.460466  0.00262205
         370      -0.552   -0.460714  0.00262661
