#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             393           1.008         1.29364       0.0408519
             394            3.04         1.29807       0.0409879
             395           0.808         1.29683       0.0409029
             396           0.924         1.29589       0.0408105
             397           0.228          1.2932       0.0407962
             398           0.904         1.29222       0.0407054
             399           0.612         1.29052       0.0406391
             400           0.748         1.28916       0.0405601
             401           0.812         1.28797       0.0404764
             402           0.796         1.28675       0.0403942
             403           0.632         1.28512       0.0403267
             404           4.084         1.29205       0.0408176
             405            1.16         1.29172       0.0407181
             406           1.084         1.29121        0.040621
             407            0.62         1.28956       0.0405547
             408           0.716         1.28816       0.0404797
             409           0.356         1.28588       0.0404448
             410           1.348         1.28603       0.0403464
             411           1.312         1.28609       0.0402483
             412           1.216         1.28592        0.040151
             413            2.56         1.28901       0.0401721
             414           3.524         1.29441       0.0404362
             415           1.004         1.29371       0.0403448
             416           0.864         1.29267        0.040261
             417           2.836         1.29637       0.0403343
             418            1.12         1.29595         0.04024
             419           3.244          1.3006       0.0404116
             420           0.304         1.29823        0.040385
             421           0.648         1.29668       0.0403186
             422           0.416          1.2946        0.040277
             423            2.76         1.29806       0.0403305
             424            2.58         1.30108       0.0403486
             425           0.588         1.29941       0.0402885
             426           1.352         1.29953       0.0401941
             427           0.976         1.29877       0.0401071
             428           0.532         1.29698       0.0400534
             429           4.484         1.30441       0.0406432
             430           2.612         1.30745       0.0406622
             431           0.744         1.30614       0.0405889
             432           0.344         1.30392        0.040556
             433           2.764         1.30729       0.0406023
             434           0.368         1.30512       0.0405664
             435           1.036         1.30451       0.0404778
             436           4.116         1.31095       0.0408954
             437           2.428         1.31351       0.0408816
             438            0.94         1.31266       0.0407972
             439           1.168         1.31233       0.0407056
             440            0.78         1.31112       0.0406311
             441           0.428         1.30912       0.0405882
             442           1.144         1.30874       0.0404981
             443           0.612         1.30717       0.0404372
             444           1.792         1.30826       0.0403609
             445           1.192           1.308       0.0402711
             446            0.76         1.30677       0.0401995
             447           2.584         1.30963        0.040211
             448            0.22          1.3072       0.0401947
             449            0.96         1.30642       0.0401126
             450           1.512         1.30688       0.0400261
             451           2.088         1.30861       0.0399748
             452            2.88         1.31209       0.0400373
             453           3.276         1.31642       0.0401829
             454           0.384         1.31437       0.0401468
             455           0.896         1.31345       0.0400691
             456           3.904         1.31913        0.040382
             457           1.336         1.31917       0.0402936
             458            4.02         1.32507       0.0406349
             459             2.8         1.32828       0.0406732
             460           1.712         1.32911       0.0405934
             461           0.236         1.32674       0.0405745
             462           0.876         1.32577       0.0404984
             463           0.244         1.32343       0.0404783
             464             2.7          1.3264       0.0404996
             465           1.628         1.32705       0.0404177
             466           1.496         1.32741       0.0403326
             467           1.056         1.32683       0.0402504
             468           0.928         1.32597       0.0401734
             469           1.028         1.32534       0.0400928
             470           0.788          1.3242       0.0400238
             471           0.704         1.32288       0.0399605
             472             0.5         1.32114       0.0399138
             473           0.284         1.31894       0.0398896
             474           1.196         1.31868       0.0398063
             475           1.756          1.3196       0.0397331
             476           1.708         1.32042       0.0396581
             477            1.44         1.32067       0.0395757
             478           0.944         1.31988       0.0395008
             479            1.38         1.32001       0.0394185
             480           0.424         1.31814       0.0393805
             481           1.324         1.31815       0.0392987
             482           0.588         1.31664       0.0392463
             483           1.024         1.31603       0.0391697
