#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             318          -0.108       0.0468302      0.00792762
             319           0.076       0.0469216       0.0079033
             320            0.02       0.0468375      0.00787905
             321          -0.056       0.0465171      0.00786101
             322          -0.116       0.0460124      0.00785278
             323          -0.076       0.0456347      0.00783755
             324           -0.02       0.0454321      0.00781598
             325          -0.068       0.0450831      0.00779972
             326           0.204       0.0455706      0.00779101
             327            0.08       0.0456758       0.0077679
             328           0.148       0.0459878      0.00775048
             329          -0.232       0.0451429      0.00777284
             330          -0.068          0.0448      0.00775684
             331          -0.172        0.044145      0.00776101
             332           0.076        0.044241      0.00773823
             333          -0.168       0.0436036       0.0077412
             334           0.004        0.043485      0.00771893
             335           0.104       0.0436657        0.007698
             336          -0.044       0.0434048      0.00767951
             337          -0.032        0.043181      0.00765998
             338          -0.108       0.0427337      0.00765036
             339           0.068       0.0428083      0.00762816
             340            0.04          0.0428      0.00760573
             341           0.256       0.0434252      0.00760908
             342           0.152       0.0437427      0.00759345
             343          -0.028       0.0435335      0.00757419
             344           0.084       0.0436512      0.00755309
             345           0.152       0.0439652      0.00753772
             346          -0.004       0.0438266      0.00751721
             347           0.064       0.0438847      0.00749577
             348           0.196       0.0443218      0.00748697
             349           0.216       0.0448138      0.00748166
             350          -0.056       0.0445257      0.00746582
             351           0.072        0.044604      0.00744496
             352           0.132       0.0448523      0.00742795
             353           0.044       0.0448499      0.00740691
             354          -0.124       0.0443729      0.00740133
             355          -0.336       0.0433014      0.00745763
             356          -0.108       0.0428764      0.00744878
             357          -0.012       0.0427227      0.00742951
             358           0.024       0.0426704      0.00740894
             359           0.092       0.0428078      0.00738957
             360           0.236       0.0433444      0.00738851
             361          -0.072       0.0430249      0.00737495
             362           0.084       0.0431381      0.00735544
             363           0.088       0.0432617      0.00733622
             364           0.068       0.0433297      0.00731638
             365           0.164       0.0436603       0.0073038
             366          -0.004       0.0435301        0.007285
             367            0.04       0.0435204      0.00726516
             368           0.008       0.0434239      0.00724606
             369            0.22       0.0439024       0.0072422
             370          -0.012       0.0437514      0.00722421
             371          -0.196       0.0431051      0.00723358
             372           0.172       0.0434516      0.00722243
             373           0.068       0.0435174      0.00720337
             374           0.144       0.0437861      0.00718911
             375          -0.316       0.0428267      0.00723368
             376          -0.236       0.0420851      0.00725235
             377          -0.064       0.0418037      0.00723857
             378          -0.156       0.0412804      0.00723831
             379            -0.3       0.0403799      0.00727501
             380          -0.204       0.0397368      0.00728424
             381           0.072       0.0398215      0.00726561
             382           0.012       0.0397487      0.00724695
             383           0.156       0.0400522      0.00723439
             384          -0.028        0.039875      0.00721772
             385          -0.068       0.0395948      0.00720441
             386          -0.208       0.0389534      0.00721424
             387           0.028       0.0389251      0.00719565
             388           0.056       0.0389691      0.00717724
             389           -0.06       0.0387147       0.0071633
             390          -0.208       0.0380821      0.00717281
             391          -0.176       0.0375345      0.00717533
             392          -0.176       0.0369898      0.00717768
             393          -0.128         0.03657      0.00717168
             394           0.196       0.0369746      0.00716489
             395          -0.108       0.0366076      0.00715614
             396           0.228       0.0370909      0.00715437
             397            0.04       0.0370982      0.00713635
             398          -0.184       0.0365427      0.00714001
             399          -0.212       0.0359198      0.00714924
             400          -0.236         0.03524      0.00716361
             401           0.092       0.0353815      0.00714715
             402           0.144       0.0356517      0.00713447
             403           -0.04        0.035464      0.00711924
             404            -0.3       0.0346337      0.00714988
             405           -0.04       0.0344494       0.0071346
             406          -0.064       0.0342069      0.00712115
             407           0.128       0.0344373      0.00710738
             408            0.18       0.0347941      0.00709891
             409           0.028       0.0347775      0.00708157
             410            0.14       0.0350341      0.00706894
             411           0.048       0.0350657      0.00705182
             412           0.032       0.0350583       0.0070347
             413           0.028       0.0350412      0.00701769
             414           0.104       0.0352077      0.00700272
             415          -0.076       0.0349398      0.00699097
             416           0.168       0.0352596      0.00698148
             417           0.128        0.035482      0.00696828
             418           0.128       0.0357033      0.00695512
             419           0.048       0.0357327      0.00693858
             420           0.172       0.0360571      0.00692964
             421           0.368       0.0368456      0.00695789
             422           0.104       0.0370047      0.00694323
             423           0.212       0.0374184      0.00693913
