#     GENERATION:   L1:   BEST HALF <L1>:
         483     5.61196     5.62884
         484     5.61196     5.64614
         485     5.61196     5.70593
         486     5.61196     5.61898
         487     5.61196     5.61196
         488     5.61196     5.61196
         489     5.61196     5.61196
         490     5.61196     5.61196
         491     5.61196     5.61196
         492     5.61196     5.61196
         493     5.61196     5.61196
         494     5.61196     5.61196
         495     5.61196     5.61196
         496     5.61196     5.61196
         497     5.61196     5.61196
         498     5.61196     5.61196
         499     5.61196     5.61196
         500     5.61196     5.61196
         501     5.61196     5.61196
         502     5.61196     5.61196
         503     5.61196     5.61196
         504     5.61196     5.61196
         505     5.61196     5.61196
         506     5.61196     5.61196
         507     5.61196     5.61196
         508     5.61196     5.61196
         509     5.61196     5.61196
         510     5.61196     5.61196
         511     5.61196     5.61196
         512     5.61196     5.61196
         513     5.61196     5.61196
         514     5.61196     5.61196
         515     5.61196     5.61196
         516     5.61196     5.61196
         517     5.61196     5.61196
         518     5.61196     5.61196
         519     5.61196     5.61196
         520     5.61196     5.61196
         521     5.61196     5.61196
         522     5.61196     5.66799
         523     5.61196     5.62628
         524     5.61196     5.64558
         525     5.61196     5.61196
         526     5.61196     5.61279
         527     5.61196     5.61196
         528     5.61196     5.61196
         529     5.61196     5.61196
         530     5.61196     5.61196
         531     5.61196     5.61196
         532     5.61196     5.61196
         533     5.61196     5.61196
         534     5.61196     5.61196
         535     5.61196     5.61196
         536     5.61196     5.61949
         537     5.61196     5.61196
         538     5.61196     5.61196
         539     5.61196     5.61196
         540     5.61196     5.61196
         541     5.61196     5.61196
         542     5.61196     5.61196
         543     5.61196     5.61196
         544     5.61196     5.64599
         545     5.61196     5.63597
         546     5.61196     5.69787
         547     5.61196     5.61474
         548     5.61196     5.61196
         549     5.61196     5.61196
         550     5.61196     5.61196
         551     5.61196     5.61196
         552     5.61196     5.61196
         553     5.61196     5.61196
         554     5.61196     5.61196
         555     5.61196     5.61196
         556     5.61196     5.61196
         557     5.61196     5.61196
         558     5.61196     5.61196
         559     5.61196     5.61196
         560     5.61196     5.61196
         561     5.61196     5.61196
         562     5.61196     5.61196
         563     5.61196     5.61196
         564     5.61196     5.61196
         565     5.61196     5.61196
         566     5.61196     5.61196
         567     5.61196     5.61196
         568     5.61196     5.61196
         569     5.61196     5.61196
         570     5.61196     5.61196
         571     5.61196     5.61196
         572     5.61196     5.61196
         573     5.61196     5.61196
         574     5.61196     5.61196
         575     5.61196     5.62161
         576     5.61196     5.61196
         577     5.61196     5.61196
         578     5.61196     5.61196
         579     5.61196     5.61196
         580     5.61196     5.61196
         581     5.61196     5.61196
         582     5.61196     5.62958
         583     5.61196     5.61196
         584     5.61196     5.61196
         585     5.61196     5.61196
         586     5.61196     5.61196
         587     5.61196     5.61196
         588     5.61196     5.61196
         589     5.61196     5.61196
         590     5.61196     5.61196
         591     5.61196     5.61196
         592     5.61196     5.61196
         593     5.61196     5.61196
         594     5.61196     5.61196
         595     5.61196     5.61196
         596     5.61196     5.61196
         597     5.61196     5.61196
         598     5.61196     5.61196
         599     5.61196     5.61196
         600     5.61196     5.61196
         601     5.61196     5.61196
         602     5.61196     5.61196
         603     5.61196     5.61196
         604     5.61196     5.61196
         605     5.61196     5.61196
         606     5.61196     5.61196
         607     5.61196     5.61196
         608     5.61196     5.61196
         609     5.61196     5.61196
         610     5.61196     5.61196
         611     5.61196     5.61196
         612     5.61196     5.61196
         613     5.61196     5.61196
         614     5.61196     5.65138
         615     5.61196     5.61196
         616     5.61196     5.61196
         617     5.61196     5.61196
         618     5.61196     5.61196
         619     5.61196     5.61196
         620     5.61196     5.61196
         621     5.61196     5.61196
         622     5.61196     5.61196
         623     5.61196     5.61196
         624     5.61196     5.61196
         625     5.61196     5.61196
         626     5.61196     5.61196
         627     5.61196     5.61196
         628     5.61196     5.61196
         629     5.61196     5.61196
         630     5.61196     5.61196
         631     5.61196     5.61196
         632     5.61196     5.61196
         633     5.61196     5.62613
         634     5.61196     5.65306
         635     5.61196     5.61196
         636     5.61196     5.61196
         637     5.61196     5.61196
         638     5.61196     5.61196
         639     5.61196     5.61196
         640     5.61196     5.61196
         641     5.61196     5.61196
         642     5.61196     5.61196
         643     5.61196     5.61196
         644     5.61196     5.61196
         645     5.61196     5.61196
         646     5.61196     5.61196
         647     5.61196     5.61196
         648     5.61196     5.61196
         649     5.61196     5.61196
         650     5.61196     5.61196
         651     5.61196     5.61196
         652     5.61196     5.61196
         653     5.61196     5.61196
         654     5.61196     5.61196
         655     5.61196     5.61196
         656     5.61196     5.61196
         657     5.61196     5.61196
         658     5.61196     5.61196
         659     5.61196     5.61196
         660     5.61196     5.61196
         661     5.61196     5.61196
         662     5.61196     5.61196
         663     5.61196     5.61196
         664     5.61196     5.61196
         665     5.61196     5.61196
         666     5.61196     5.61196
         667     5.61196     5.61196
         668     5.61196     5.61196
         669     5.61196     5.61196
         670     5.26315     5.60498
         671     5.26315      5.5701
         672     5.26315     5.53522
         673     5.26315      5.5671
         674     5.26315     5.43104
