#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             265           0.032       0.0394415       0.0102555
             266           0.096       0.0396541       0.0102191
             267          -0.184       0.0388165       0.0102151
             268          -0.176       0.0380149       0.0102084
             269          -0.176       0.0372193       0.0102014
             270           0.332       0.0383111       0.0102219
             271           0.024       0.0382583       0.0101843
             272          -0.036       0.0379853       0.0101505
             273          -0.224       0.0370256       0.0101586
             274           0.112       0.0372993       0.0101252
             275            0.04       0.0373091       0.0100884
             276          -0.432       0.0356087       0.0101941
             277          -0.068       0.0352347       0.0101642
             278          -0.196       0.0344029       0.0101616
             279          -0.232        0.033448         0.01017
             280           0.056       0.0335286        0.010134
             281          -0.116       0.0329964       0.0101119
             282           0.112       0.0332766       0.0100799
             283           0.032       0.0332721       0.0100443
             284           -0.08       0.0328732       0.0100168
             285           0.344       0.0339649        0.010041
             286            0.28       0.0348252       0.0100427
             287            0.26       0.0356098       0.0100383
             288           0.028       0.0355833       0.0100034
             289           0.008       0.0354879      0.00996928
             290          -0.112       0.0349793      0.00994787
             291           0.168       0.0354364      0.00992418
             292           0.432       0.0367945      0.00998269
             293           0.428       0.0381297       0.0100375
             294          -0.068       0.0377687       0.0100099
             295          -0.212        0.036922       0.0100117
             296          -0.032       0.0366892      0.00998055
             297           0.028       0.0366599      0.00994699
             298           0.148       0.0370336      0.00992063
             299           0.048       0.0370702      0.00988751
             300           -0.02         0.03688      0.00985639
             301          -0.084       0.0364784      0.00983182
             302           0.104        0.036702      0.00980181
             303          -0.012       0.0365413      0.00977077
             304           0.096       0.0367368      0.00974059
             305          -0.004       0.0366033      0.00970957
             306          -0.044       0.0363399      0.00968141
             307           0.176       0.0367948      0.00966056
             308            0.22       0.0373896      0.00964749
             309           0.044        0.037411      0.00961629
             310          -0.124       0.0368903      0.00959936
             311           0.348       0.0378907      0.00962047
             312           0.176       0.0383333      0.00959982
             313          -0.212       0.0375335       0.0096024
             314           0.036       0.0375287      0.00957182
             315           0.072       0.0376381      0.00954206
             316          -0.044       0.0373797      0.00951536
             317          -0.032       0.0371609      0.00948786
             318          -0.196       0.0364277      0.00948631
