#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             343           0.208        0.154755      0.00416382
             344          0.0832        0.154547      0.00415691
             345          0.0808        0.154333      0.00415035
             346          0.0832        0.154127      0.00414344
             347          0.1152        0.154015      0.00413302
             348           0.192        0.154124      0.00412259
             349          0.2408        0.154372      0.00411825
             350          0.1608        0.154391      0.00410652
             351          0.1792        0.154462      0.00409543
             352          0.1568        0.154468       0.0040838
             353          0.0352         0.15413      0.00408619
             354          0.1152         0.15402      0.00407612
             355          0.1152        0.153911      0.00406611
             356           0.176        0.153973      0.00405516
             357          0.1608        0.153992      0.00404384
             358          0.0448        0.153687      0.00404404
             359          0.1352        0.153636       0.0040331
             360          0.2952        0.154029      0.00404102
             361          0.1352        0.153977      0.00403016
             362          0.2888        0.154349       0.0040362
             363          0.0992        0.154197      0.00402794
             364          0.3592         0.15476      0.00405606
             365          0.0968        0.154602      0.00404805
             366           0.096        0.154442      0.00404016
             367          0.3328        0.154928      0.00405827
             368          0.1952        0.155037      0.00404872
             369          0.2312        0.155243      0.00404301
             370          0.0928        0.155075       0.0040356
             371          0.2752        0.155398      0.00403769
             372          0.1248        0.155316      0.00402768
             373            0.08        0.155114      0.00402194
             374           0.196        0.155224      0.00401267
             375          0.2752        0.155543       0.0040147
             376          0.1288        0.155472      0.00400465
             377          0.1512        0.155461      0.00399405
             378          0.2088        0.155602      0.00398597
             379          0.0648        0.155363      0.00398265
             380          0.1152        0.155257      0.00397357
             381          0.1288        0.155187      0.00396375
             382          0.2248         0.15537      0.00395756
             383          0.0672        0.155139      0.00395392
             384             0.1        0.154996      0.00394623
             385          0.1632        0.155017      0.00393603
             386          0.0712          0.1548      0.00393182
             387          0.0808        0.154609      0.00392631
             388          0.2952        0.154971      0.00393287
             389           0.116        0.154871      0.00392404
             390          0.1352        0.154821       0.0039143
             391          0.1928        0.154918       0.0039055
             392          0.0928        0.154759      0.00389875
             393          0.0928        0.154602      0.00389201
             394          0.1952        0.154705       0.0038835
             395          0.1672        0.154736      0.00387379
             396          0.1888        0.154822      0.00386497
             397            0.24        0.155037      0.00386118
             398          0.1952        0.155138       0.0038528
             399          0.0808        0.154951      0.00384765
             400          0.1152        0.154852      0.00383931
             401             0.1        0.154715      0.00383217
             402          0.2152        0.154866      0.00382559
             403          0.1728         0.15491      0.00381636
             404          0.0992        0.154772       0.0038094
             405            0.16        0.154785      0.00380002
             406           0.128        0.154719      0.00379123
             407          0.1832        0.154789      0.00378256
             408          0.3488        0.155265      0.00380306
             409          0.1632        0.155284      0.00379381
             410           0.244          0.1555      0.00379072
             411          0.1288        0.155436      0.00378206
             412          0.1472        0.155416      0.00377293
             413          0.1928        0.155506      0.00376488
             414           0.128         0.15544      0.00375637
             415           0.212        0.155576      0.00374979
             416           0.176        0.155625       0.0037411
             417          0.1672        0.155653      0.00373223
             418          0.1768        0.155703      0.00372365
             419          0.2432        0.155912      0.00372061
             420            0.08        0.155731      0.00371614
             421           0.228        0.155903      0.00371128
             422          0.1032        0.155778      0.00370458
             423          0.1352         0.15573      0.00369614
             424          0.0448        0.155468      0.00369667
             425           0.096        0.155328      0.00369062
             426          0.2152        0.155469      0.00368463
             427          0.1192        0.155384      0.00367698
             428          0.0672        0.155178      0.00367416
             429          0.0968        0.155041      0.00366812
             430          0.1928        0.155129      0.00366064
             431          0.0192        0.154814       0.0036657
             432           0.128        0.154752      0.00365774
             433          0.1192         0.15467      0.00365022
             434            0.32        0.155051      0.00366163
             435          0.2048        0.155165        0.003655
             436          0.0768        0.154985      0.00365103
             437          0.0872         0.15483      0.00364597
             438          0.3528        0.155282      0.00366556
             439          0.1992        0.155382      0.00365857
             440          0.2152        0.155518      0.00365278
             441          0.1568        0.155521       0.0036445
             442          0.2752        0.155792       0.0036463
             443          0.0832        0.155628      0.00364175
             444          0.0288        0.155342      0.00364473
             445          0.0552        0.155117      0.00364348
             446          0.1672        0.155144      0.00363541
             447          0.0832        0.154983      0.00363084
             448          0.1448        0.154961      0.00362281
             449          0.1248        0.154894      0.00361536
             450          0.1632        0.154912      0.00360738
             451          0.0512        0.154682       0.0036067
             452          0.0992        0.154559      0.00360081
             453          0.1408        0.154529      0.00359299
             454          0.0992        0.154407      0.00358714
             455          0.1312        0.154356      0.00357962
             456           0.292        0.154658      0.00358447
             457          0.1992        0.154755      0.00357795
             458          0.1832        0.154817      0.00357068
             459           0.176        0.154864       0.0035632
             460          0.0928        0.154729      0.00355801
             461          0.3048        0.155054      0.00356515
             462          0.2272         0.15521      0.00356085
             463          0.0672         0.15502      0.00355823
             464             0.1        0.154902      0.00355254
             465          0.2688        0.155147      0.00355333
             466          0.1312        0.155095      0.00354608
             467          0.2688        0.155339      0.00354683
             468          0.0992        0.155219      0.00354128
             469          0.0928        0.155086      0.00353623
             470          0.0872        0.154941      0.00353166
             471          0.0672        0.154755      0.00352907
             472          0.0392         0.15451      0.00353007
             473          0.1088        0.154414      0.00352393
             474          0.0968        0.154292      0.00351859
             475          0.2088        0.154407      0.00351306
             476          0.0648        0.154218      0.00351072
             477          0.1312         0.15417      0.00350369
             478          0.3072         0.15449      0.00351095
             479           0.208        0.154602       0.0035054
             480          0.1312        0.154553      0.00349844
             481          0.1928        0.154633      0.00349207
             482          0.2088        0.154745      0.00348663
             483          0.1512        0.154738      0.00347942
             484          0.1128        0.154651      0.00347331
             485          0.1312        0.154603      0.00346648
             486          0.1152        0.154522       0.0034603
             487          0.0768        0.154362      0.00345687
             488          0.1192         0.15429      0.00345054
             489          0.2592        0.154505      0.00345015
             490          0.0648        0.154322      0.00344796
             491          0.0768        0.154164      0.00344455
             492          0.1248        0.154104      0.00343807
             493          0.2208        0.154239      0.00343375
             494          0.1608        0.154253      0.00342683
             495           0.084        0.154111      0.00342284
             496            0.16        0.154123      0.00341596
             497          0.0968        0.154007      0.00341104
             498          0.0712        0.153841      0.00340824
             499          0.2112        0.153956      0.00340334
             500          0.1672        0.153982      0.00339664
             501          0.1792        0.154033      0.00339023
             502          0.2248        0.154174      0.00338641
             503          0.1608        0.154187       0.0033797
             504          0.0968        0.154073      0.00337491
             505          0.0808        0.153928      0.00337135
             506          0.1128        0.153847      0.00336567
             507           0.192        0.153922      0.00335987
             508          0.2632        0.154137      0.00336013
             509          0.3488        0.154519      0.00337523
             510           0.068         0.15435      0.00337287
             511            0.16        0.154361      0.00336629
             512           0.196        0.154442      0.00336069
             513          0.0832        0.154303      0.00335701
             514           0.272        0.154532      0.00335828
             515          0.1632        0.154549       0.0033518
             516          0.1792        0.154597      0.00334565
             517          0.1352        0.154559      0.00333939
             518          0.2432        0.154731      0.00333732
             519           0.116        0.154656      0.00333172
             520          0.1568         0.15466      0.00332532
             521          0.1192        0.154592      0.00331963
             522          0.0968        0.154481      0.00331512
             523          0.2152        0.154597      0.00331081
             524           0.276        0.154829      0.00331259
             525          0.1888        0.154894      0.00330691
             526          0.0832        0.154757      0.00330343
             527          0.0552        0.154569      0.00330256
             528           0.224          0.1547      0.00329893
             529          0.0648         0.15453      0.00329706
             530          0.1088        0.154444      0.00329197
             531          0.1992        0.154528      0.00328685
             532            0.08        0.154388      0.00328366
             533          0.1032        0.154292       0.0032789
             534          0.3648        0.154686      0.00329637
             535          0.1928        0.154757      0.00329098
             536          0.1472        0.154743      0.00328487
             537          0.1192        0.154677      0.00327942
             538           0.052        0.154486      0.00327887
             539          0.1088        0.154401      0.00327389
             540          0.0608        0.154228      0.00327241
             541          0.1832        0.154282       0.0032668
             542          0.3048        0.154559      0.00327255
             543           0.084        0.154429       0.0032691
             544          0.0872        0.154306      0.00326543
             545           0.148        0.154294      0.00325946
             546          0.3232        0.154604      0.00326814
             547          0.1128        0.154527      0.00326306
             548          0.1032        0.154434      0.00325845
             549          0.0832        0.154304      0.00325509
             550          0.1608        0.154316       0.0032492
             551          0.1632        0.154332      0.00324334
             552          0.2472          0.1545      0.00324182
             553          0.0768        0.154359        0.003239
             554           0.176        0.154399      0.00323339
             555          0.0768        0.154259      0.00323059
             556          0.1728        0.154292      0.00322495
             557          0.4352        0.154796      0.00325836
             558          0.1832        0.154847      0.00325291
             559           0.192        0.154914      0.00324777
             560          0.0992        0.154814       0.0032435
             561          0.3808        0.155217      0.00326263
             562           0.208        0.155311      0.00325818
             563           0.176        0.155348       0.0032526
             564          0.0672        0.155191      0.00325059
             565          0.2952        0.155439      0.00325427
             566           0.176        0.155476      0.00324872
             567          0.1192        0.155412      0.00324362
             568           0.208        0.155504      0.00323923
             569          0.1408        0.155478      0.00323364
             570          0.1192        0.155415      0.00322859
             571          0.2368        0.155557      0.00322608
             572          0.1992        0.155634      0.00322134
             573          0.1768        0.155671      0.00321593
             574          0.1288        0.155624      0.00321067
             575          0.1608        0.155633       0.0032051
             576          0.1728        0.155662      0.00319968
             577          0.1472        0.155648      0.00319416
             578          0.0968        0.155546      0.00319026
             579           0.368        0.155913      0.00320578
             580          0.1192         0.15585      0.00320088
             581            0.16        0.155857      0.00319538
             582          0.1928         0.15592      0.00319052
             583           0.192        0.155982      0.00318565
             584          0.1032        0.155892      0.00318147
             585          0.1728        0.155921      0.00317617
             586           0.148        0.155907      0.00317077
             587          0.1408        0.155881      0.00316548
             588          0.1568        0.155883      0.00316009
             589           0.132        0.155842      0.00315499
             590          0.1152        0.155774      0.00315039
             591            0.34        0.156085      0.00316045
             592          0.2048        0.156168      0.00315618
             593          0.0448         0.15598      0.00315644
             594          0.1352        0.155945      0.00315132
             595           0.112        0.155871      0.00314689
             596          0.0712        0.155729      0.00314481
             597           0.468        0.156252      0.00318275
