#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             377           1.596         1.32094       0.0567699
             378           3.072         1.32558       0.0568084
             379           0.624         1.32373       0.0566887
             380           2.052         1.32564       0.0565719
             381           2.468         1.32864       0.0565028
             382            2.46          1.3316       0.0564324
             383           0.424         1.32923       0.0563348
             384           0.712         1.32763        0.056211
             385           1.868         1.32903       0.0560826
             386           1.928         1.33058       0.0559587
             387           0.788         1.32918       0.0558317
             388           0.516         1.32708       0.0557271
             389           1.276         1.32695        0.055584
             390           2.548         1.33008       0.0555296
             391           0.684         1.32843       0.0554122
             392           0.432         1.32614        0.055318
             393            0.44         1.32389       0.0552232
             394            1.28         1.32378       0.0550831
             395           1.028         1.32303       0.0549487
             396           1.128         1.32254       0.0548122
             397           0.816         1.32126        0.054689
             398           0.476         1.31914       0.0545928
             399           0.392         1.31681       0.0545054
             400           0.608         1.31504       0.0543979
             401           4.596         1.32322       0.0548741
             402            0.82         1.32197       0.0547519
             403           0.836         1.32076       0.0546293
             404           1.712         1.32173       0.0545027
             405           1.184         1.32139       0.0543692
             406           0.192         1.31861       0.0543064
             407           0.312         1.31614       0.0542292
             408           0.556         1.31427       0.0541283
             409           2.788         1.31788       0.0541158
             410           2.836         1.32158       0.0541103
             411           3.916         1.32789       0.0543456
             412           1.856         1.32917       0.0542288
             413            0.14          1.3263       0.0541739
             414            0.86         1.32517       0.0540548
             415           3.564         1.33056        0.054193
             416           0.416         1.32837       0.0541073
             417           3.172         1.33279       0.0541579
             418           1.252         1.33259       0.0540287
             419           0.996         1.33179       0.0539057
             420             0.5         1.32981       0.0538137
             421             1.3         1.32974        0.053686
             422           0.928         1.32879       0.0535672
             423            1.44         1.32905       0.0534412
             424           2.248         1.33122       0.0533591
             425           0.372         1.32896       0.0532812
             426           0.896         1.32794       0.0531659
             427            0.66         1.32638       0.0530644
             428           1.056         1.32575       0.0529441
             429           1.232         1.32553       0.0528212
             430           1.056          1.3249       0.0527021
             431           0.512         1.32302       0.0526135
             432           1.328         1.32303       0.0524917
             433           0.252         1.32055       0.0524287
             434           0.252         1.31809       0.0523657
             435           0.456         1.31611       0.0522828
             436           0.916         1.31519        0.052171
             437           0.968          1.3144       0.0520576
             438            0.76         1.31313       0.0519542
             439            0.78         1.31192         0.05185
             440           0.528         1.31014       0.0517628
             441           1.528         1.31063       0.0516478
             442           1.228         1.31044       0.0515312
             443           1.128         1.31003       0.0514166
             444           0.908         1.30913       0.0513087
             445           3.528         1.31411       0.0514351
             446            0.46          1.3122       0.0513555
             447            0.62         1.31065       0.0512639
             448           0.388         1.30859       0.0511908
             449           1.552         1.30913       0.0510797
             450           1.172         1.30883       0.0509671
             451           2.888         1.31233       0.0509742
             452           1.848         1.31351       0.0508752
             453           0.932         1.31267       0.0507699
             454           3.192         1.31681       0.0508265
             455            3.08         1.32069       0.0508623
             456           3.196          1.3248       0.0509168
             457           5.796         1.33458       0.0517368
             458           0.752         1.33331       0.0516395
             459           0.596          1.3317        0.051552
             460           1.452         1.33197       0.0514406
             461           2.828         1.33521       0.0514312
             462           0.944         1.33436       0.0513269
             463            0.14         1.33178       0.0512808
             464           0.256         1.32947       0.0512227
             465           2.068         1.33105       0.0511371
             466           0.356         1.32896       0.0510702
             467           4.268         1.33525       0.0513471
             468           1.168          1.3349       0.0512387
             469            1.36         1.33495       0.0511295
             470           1.064         1.33437       0.0510239
             471           1.432         1.33458        0.050916
             472           0.544         1.33291       0.0508357
             473            0.82         1.33182       0.0507398
             474           0.728         1.33055       0.0506487
             475           0.508         1.32882       0.0505717
             476           2.792         1.33189       0.0505588
             477               4         1.33748       0.0507612
             478           4.048         1.34315       0.0509708
             479           2.972         1.34656       0.0509777
             480           0.856         1.34553       0.0508817
             481           2.376         1.34768        0.050821
             482            0.58         1.34608       0.0507405
             483           0.184         1.34368       0.0506925
             484           1.444         1.34388       0.0505882
             485           0.744         1.34265        0.050499
             486           1.048         1.34204       0.0503987
             487           1.476         1.34232        0.050296
             488           1.264         1.34216       0.0501932
             489           0.532          1.3405       0.0501179
             490           4.072         1.34607       0.0503247
             491           1.124         1.34562       0.0502242
             492           1.368         1.34567       0.0501221
             493             3.7         1.35044       0.0502474
             494           2.592         1.35296       0.0502085
             495           0.204         1.35063       0.0501607
             496           2.352         1.35265       0.0501002
             497           0.816         1.35157       0.0500111
             498           0.404         1.34967       0.0499468
             499            1.38         1.34973       0.0498468
             500           0.356         1.34774       0.0497867
             501           0.388         1.34583       0.0497241
             502           0.648         1.34444       0.0496445
             503           1.848         1.34544       0.0495559
             504            0.98         1.34471       0.0494629
             505            0.52         1.34308       0.0493919
             506           1.388         1.34317       0.0492944
             507           0.336         1.34118       0.0492371
             508           1.256         1.34102       0.0491405
             509           1.152         1.34064       0.0490454
             510            2.02         1.34198       0.0489673
             511           1.032         1.34137       0.0488752
             512           0.336         1.33941       0.0488192
             513           0.988         1.33872       0.0487288
             514             0.2         1.33651       0.0486844
             515           0.636         1.33515       0.0486088
             516           1.828          1.3361        0.048524
             517           0.504         1.33449       0.0484568
             518             2.6         1.33693       0.0484248
             519           4.116         1.34229       0.0486267
             520           0.896         1.34143       0.0485407
             521           1.392         1.34153       0.0484477
             522           3.176         1.34504       0.0484821
             523            1.86         1.34603       0.0483994
             524           1.156         1.34566       0.0483084
             525           2.208         1.34731       0.0482443
             526           1.024         1.34669       0.0481565
             527           0.256         1.34462       0.0481096
             528            0.56         1.34314       0.0480414
             529               1         1.34249        0.047955
             530           0.972         1.34179       0.0478696
             531           0.524         1.34025       0.0478042
             532           0.632         1.33892       0.0477329
             533            1.18         1.33862       0.0476443
             534           0.608         1.33725       0.0475747
             535           0.532         1.33575       0.0475096
             536           0.396         1.33399       0.0474533
             537             0.4         1.33225       0.0473968
             538           0.904         1.33146       0.0473154
             539           3.004         1.33456       0.0473292
             540           2.184         1.33613       0.0472677
             541           3.612         1.34034       0.0473672
             542           2.204         1.34193       0.0473066
             543           3.032         1.34505       0.0473217
             544           3.136         1.34834       0.0473491
             545           5.516         1.35599       0.0478758
             546           0.452         1.35433       0.0478167
             547           1.048         1.35377       0.0477326
             548           1.212         1.35351       0.0476462
             549           1.636         1.35403       0.0475622
             550            1.44         1.35418       0.0474759
             551           0.372          1.3524       0.0474232
             552           1.032         1.35182       0.0473409
             553            0.34         1.34999       0.0472906
             554           4.744         1.35612       0.0476004
             555           1.472         1.35632       0.0475151
             556            0.82         1.35536       0.0474394
             557           0.896         1.35454       0.0473614
             558             1.6         1.35497       0.0472786
             559            0.52         1.35348       0.0472176
             560           1.388         1.35354       0.0471333
             561           0.472         1.35197       0.0470755
             562           0.328         1.35015        0.047027
             563           2.676          1.3525       0.0470024
             564           2.476          1.3545       0.0469613
             565           1.884         1.35543       0.0468875
             566            1.02         1.35484       0.0468084
             567           0.068         1.35257       0.0467808
             568            0.64         1.35132       0.0467153
             569           0.188         1.34927       0.0466779
             570            2.38         1.35108        0.046631
             571           1.724         1.35173       0.0465539
             572           0.812         1.35079       0.0464821
             573           1.868         1.35169       0.0464097
             574           0.584         1.35036       0.0463482
             575           0.392         1.34869       0.0462975
             576           0.308         1.34688       0.0462524
             577           0.372         1.34519       0.0462031
             578           2.268         1.34679       0.0461507
             579           1.228         1.34658       0.0460715
             580           0.324         1.34482       0.0460257
