#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         385     1.42205     1.42211 9.30492e-06
         386     1.42219     1.42211 9.28309e-06
         387      1.4221     1.42211  9.2592e-06
         388     1.42217     1.42211 9.23638e-06
         389     1.42209     1.42211 9.21292e-06
         390     1.42198     1.42211 9.19544e-06
         391     1.42212     1.42211 9.17192e-06
         392     1.42223     1.42211 9.15306e-06
         393     1.42197     1.42211 9.13684e-06
         394     1.42221     1.42211 9.11726e-06
         395     1.42225     1.42211 9.10028e-06
         396     1.42211     1.42211 9.07731e-06
         397     1.42236     1.42211 9.07497e-06
         398      1.4222     1.42211   9.055e-06
         399     1.42227     1.42212 9.04078e-06
         400     1.42248     1.42212 9.06405e-06
         401     1.42235     1.42212 9.05955e-06
         402     1.42223     1.42212 9.04169e-06
         403     1.42222     1.42212 9.02282e-06
         404     1.42226     1.42212 9.00775e-06
         405     1.42208     1.42212 8.98593e-06
         406     1.42229     1.42212 8.97341e-06
         407     1.42237     1.42212 8.97305e-06
         408     1.42218     1.42212 8.95244e-06
         409     1.42218     1.42212 8.93184e-06
         410     1.42207     1.42212 8.91089e-06
         411     1.42215     1.42212 8.88963e-06
         412     1.42222     1.42212 8.87123e-06
         413     1.42213     1.42212 8.84982e-06
         414     1.42189     1.42212  8.8461e-06
         415     1.42224     1.42212 8.82948e-06
         416     1.42195     1.42212 8.81708e-06
         417     1.42234     1.42212 8.81129e-06
         418      1.4221     1.42212 8.79036e-06
         419     1.42238     1.42212 8.79096e-06
         420     1.42218     1.42212  8.7713e-06
         421     1.42224     1.42212 8.75498e-06
         422     1.42232     1.42212 8.74742e-06
         423     1.42245     1.42212 8.76235e-06
         424     1.42222     1.42212 8.74481e-06
         425     1.42226     1.42212 8.73055e-06
         426     1.42224     1.42212  8.7148e-06
         427     1.42228     1.42212 8.70273e-06
         428     1.42206     1.42212 8.68373e-06
         429      1.4223     1.42212 8.67388e-06
         430     1.42236     1.42212 8.67145e-06
         431     1.42233     1.42212 8.66457e-06
         432     1.42241     1.42212  8.6694e-06
         433     1.42235     1.42213  8.6654e-06
         434     1.42234     1.42213 8.65978e-06
         435     1.42218     1.42213 8.64075e-06
         436     1.42206     1.42213 8.62229e-06
         437     1.42223     1.42213  8.6056e-06
         438     1.42209     1.42213 8.58627e-06
         439     1.42221     1.42213 8.56911e-06
         440      1.4221     1.42213 8.54977e-06
         441     1.42222     1.42213  8.5331e-06
         442     1.42197     1.42213 8.52134e-06
         443     1.42239     1.42213 8.52277e-06
         444     1.42193     1.42213 8.51447e-06
         445      1.4223     1.42213 8.50412e-06
         446     1.42233     1.42213 8.49732e-06
         447     1.42223     1.42213 8.48135e-06
         448     1.42218     1.42213  8.4632e-06
         449     1.42211     1.42213 8.44448e-06
         450     1.42239     1.42213 8.44518e-06
         451     1.42197     1.42213 8.43327e-06
         452     1.42216     1.42213 8.41495e-06
         453     1.42212     1.42213 8.39639e-06
         454      1.4222     1.42213 8.37937e-06
         455     1.42203     1.42213 8.36357e-06
         456     1.42231     1.42213 8.35449e-06
         457     1.42212     1.42213 8.33624e-06
         458     1.42211     1.42213 8.31811e-06
         459     1.42216     1.42213 8.30024e-06
         460     1.42213     1.42213  8.2822e-06
         461     1.42208     1.42213 8.26493e-06
         462     1.42183     1.42213 8.27266e-06
         463     1.42213     1.42213  8.2548e-06
         464     1.42213     1.42213 8.23701e-06
         465     1.42221     1.42213 8.22146e-06
         466     1.42229     1.42213 8.21138e-06
         467     1.42201     1.42213 8.19798e-06
         468     1.42214     1.42213  8.1805e-06
         469     1.42233     1.42213 8.17442e-06
         470     1.42206     1.42213 8.15825e-06
         471     1.42209     1.42213  8.1414e-06
         472     1.42244     1.42213 8.15124e-06
         473       1.422     1.42213 8.13885e-06
         474      1.4222     1.42213 8.12311e-06
         475     1.42231     1.42213 8.11457e-06
         476     1.42208     1.42213  8.0981e-06
         477     1.42211     1.42213 8.08117e-06
         478     1.42233     1.42213 8.07493e-06
         479     1.42215     1.42213 8.05817e-06
         480     1.42236     1.42213 8.05533e-06
         481       1.422     1.42213 8.04301e-06
         482     1.42246     1.42213 8.05516e-06
         483     1.42203     1.42213 8.04106e-06
         484     1.42215     1.42213 8.02456e-06
         485     1.42226     1.42213 8.01265e-06
         486     1.42208     1.42213 7.99672e-06
