#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         327   0.0603232   0.0595582 0.000122387
         328    0.061536   0.0595642 0.000122162
         329   0.0612441   0.0595693 0.000121897
         330   0.0616309   0.0595756 0.000121688
         331   0.0614379   0.0595812  0.00012145
         332   0.0611804    0.059586  0.00012118
         333    0.061337   0.0595913  0.00012093
         334   0.0616724   0.0595975 0.000120728
         335    0.061279   0.0596025 0.000120472
         336   0.0614583   0.0596081  0.00012024
         337   0.0606472   0.0596112 0.000119923
         338   0.0612054   0.0596159 0.000119661
         339   0.0600015    0.059617 0.000119313
         340   0.0606934   0.0596202 0.000119004
         341   0.0602489    0.059622  0.00011867
         342   0.0595204   0.0596217 0.000118323
         343   0.0604736   0.0596242 0.000118004
         344   0.0612588    0.059629 0.000117757
         345   0.0616097   0.0596347 0.000117555
         346   0.0614727     0.05964 0.000117335
         347   0.0615777   0.0596456  0.00011713
         348   0.0623718   0.0596534 0.000117055
         349   0.0617685   0.0596595 0.000116877
         350   0.0628101   0.0596685 0.000116889
         351   0.0622911    0.059676 0.000116794
         352   0.0625578   0.0596841 0.000116749
         353   0.0621886   0.0596912 0.000116634
         354   0.0608203   0.0596944 0.000116348
         355   0.0608108   0.0596976 0.000116063
         356   0.0601551   0.0596989 0.000115744
         357   0.0605612   0.0597013 0.000115445
         358   0.0606869    0.059704 0.000115155
         359   0.0607065   0.0597068 0.000114868
         360   0.0612915   0.0597112 0.000114633
         361   0.0616486   0.0597166 0.000114441
         362   0.0609705   0.0597201 0.000114178
         363   0.0614241   0.0597248  0.00011396
         364   0.0615899   0.0597299 0.000113762
         365   0.0612519    0.059734 0.000113526
         366   0.0625063   0.0597416 0.000113469
         367   0.0617463   0.0597471 0.000113291
         368   0.0617816   0.0597526 0.000113118
         369   0.0617436    0.059758  0.00011294
         370   0.0609125   0.0597611 0.000112678
         371   0.0618227   0.0597667 0.000112511
         372    0.061868   0.0597723  0.00011235
         373   0.0618515   0.0597779 0.000112187
         374   0.0615876   0.0597827 0.000111992
         375   0.0635022   0.0597927 0.000112131
         376   0.0635413   0.0598026 0.000112275
         377   0.0629808   0.0598111 0.000112294
         378   0.0627698   0.0598189 0.000112269
         379    0.061661   0.0598238 0.000112078
         380   0.0609973   0.0598268 0.000111826
         381    0.061307   0.0598307   0.0001116
         382   0.0619341   0.0598362 0.000111443
         383    0.061885   0.0598416  0.00011128
         384   0.0624401   0.0598483 0.000111196
         385   0.0618396   0.0598535 0.000111028
         386   0.0611719   0.0598569 0.000110793
         387    0.061206   0.0598604 0.000110561
         388   0.0604166   0.0598619 0.000110285
         389   0.0599128    0.059862 0.000110002
         390   0.0611322   0.0598652 0.000109768
         391   0.0611282   0.0598685 0.000109535
         392   0.0611933   0.0598719 0.000109308
         393   0.0617408   0.0598766 0.000109133
         394   0.0616478   0.0598811 0.000108948
         395   0.0608301   0.0598835 0.000108699
         396   0.0611724   0.0598868 0.000108473
         397   0.0614806   0.0598908 0.000108274
         398   0.0600895   0.0598913 0.000108003
         399   0.0605589   0.0598929 0.000107746
         400    0.060447   0.0598943 0.000107485
         401    0.059507   0.0598934 0.000107222
         402   0.0588494   0.0598908 0.000106986
         403    0.058843   0.0598882 0.000106752
         404   0.0589907   0.0598859 0.000106511
         405    0.058803   0.0598833 0.000106282
         406   0.0588592   0.0598808  0.00010605
         407   0.0577301   0.0598755 0.000105921
         408   0.0579094   0.0598706 0.000105771
         409   0.0577248   0.0598654 0.000105642
         410   0.0575572   0.0598598 0.000105535
         411   0.0579945   0.0598552 0.000105375
         412   0.0579896   0.0598507 0.000105217
         413   0.0590786   0.0598488 0.000104979
         414   0.0590142   0.0598468 0.000104744
         415   0.0594424   0.0598458 0.000104497
         416   0.0605447   0.0598475 0.000104259
         417   0.0609518   0.0598502 0.000104043
         418   0.0605963    0.059852 0.000103809
