#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         229   -0.357509   -0.348372  0.00455806
         230   -0.358164   -0.348415  0.00453844
         231    -0.36463   -0.348485  0.00451934
         232   -0.391743   -0.348671   0.0045037
         233   -0.379262   -0.348803  0.00448629
         234   -0.387833   -0.348969  0.00447021
         235   -0.390631   -0.349147   0.0044547
         236   -0.413062   -0.349417  0.00444405
         237   -0.422112   -0.349724  0.00443588
         238   -0.442118   -0.350112  0.00443419
         239   -0.462737   -0.350584  0.00444061
         240    -0.46956   -0.351079  0.00444969
         241   -0.456076   -0.351515   0.0044525
         242   -0.454959   -0.351942  0.00445458
         243   -0.444292   -0.352322  0.00445243
         244   -0.465526   -0.352786  0.00445829
         245   -0.418513   -0.353055  0.00444815
         246   -0.403477    -0.35326  0.00443479
         247    -0.39805   -0.353441  0.00442054
         248   -0.379231   -0.353545  0.00440394
         249   -0.399984   -0.353732   0.0043902
         250    -0.37557   -0.353819  0.00437351
         251   -0.387784   -0.353954  0.00435818
         252   -0.395158   -0.354118  0.00434395
         253    -0.38199   -0.354228  0.00432818
         254   -0.378226   -0.354322  0.00431217
         255   -0.371856   -0.354391  0.00429581
         256   -0.368082   -0.354445  0.00427936
         257   -0.376679   -0.354531  0.00426358
         258    -0.36947   -0.354589  0.00424745
         259     -0.3837   -0.354701  0.00423254
         260   -0.390795    -0.35484  0.00421853
         261   -0.364944   -0.354879  0.00420255
         262   -0.375091   -0.354956  0.00418722
         263   -0.361216    -0.35498  0.00417136
         264   -0.389465    -0.35511  0.00415761
         265   -0.402521   -0.355289  0.00414576
         266   -0.395891   -0.355442  0.00413299
         267   -0.422736   -0.355694  0.00412519
         268   -0.429602    -0.35597    0.004119
         269   -0.409787    -0.35617  0.00410855
         270   -0.440561   -0.356482   0.0041052
         271   -0.420171   -0.356717  0.00409677
         272   -0.417816   -0.356942  0.00408787
         273   -0.424059   -0.357188  0.00408028
         274   -0.411181   -0.357385  0.00407014
         275   -0.413687    -0.35759  0.00406049
         276   -0.425812   -0.357837  0.00405329
         277   -0.389834   -0.357952   0.0040403
         278   -0.429691   -0.358211    0.004034
         279   -0.421876   -0.358439  0.00402599
         280   -0.432004   -0.358701  0.00402018
         281   -0.418666   -0.358915  0.00401153
         282   -0.430516   -0.359169  0.00400533
         283    -0.38301   -0.359253  0.00399207
         284   -0.398397   -0.359391  0.00398039
         285   -0.367833    -0.35942  0.00396653
         286   -0.378901   -0.359489  0.00395325
         287    -0.38106   -0.359564  0.00394019
         288   -0.370454   -0.359602  0.00392669
         289   -0.386827   -0.359696  0.00391423
         290   -0.392942    -0.35981  0.00390241
         291   -0.395248   -0.359932   0.0038909
         292   -0.415249   -0.360122  0.00388219
         293   -0.427368   -0.360351  0.00387571
         294     -0.4843   -0.360773  0.00388539
         295   -0.456153   -0.361096  0.00388565
         296   -0.473066   -0.361474  0.00389089
         297   -0.502933   -0.361951  0.00390684
         298    -0.47363   -0.362325  0.00391166
         299   -0.455791   -0.362638  0.00391105
         300   -0.460913   -0.362966  0.00391171
         301   -0.442453    -0.36323  0.00390761
         302   -0.440853   -0.363487  0.00390312
         303   -0.428242     -0.3637  0.00389608
         304   -0.412135    -0.36386  0.00388652
         305   -0.420007   -0.364044  0.00387814
         306   -0.424606   -0.364242  0.00387051
         307   -0.411398   -0.364395  0.00386095
         308   -0.426768   -0.364598  0.00385372
         309   -0.434434   -0.364824  0.00384787
         310   -0.403475   -0.364948  0.00383748
         311   -0.448408   -0.365217  0.00383451
         312   -0.411732   -0.365366  0.00382512
         313   -0.435764   -0.365591  0.00381951
         314   -0.388177   -0.365663  0.00380802
         315   -0.437486   -0.365891  0.00380275
         316   -0.427736   -0.366086  0.00379575
         317   -0.433418   -0.366299  0.00378971
         318   -0.427405   -0.366491  0.00378266
         319    -0.42021   -0.366659  0.00377455
         320   -0.399622   -0.366762  0.00376416
         321   -0.402606   -0.366874  0.00375409
         322   -0.361387   -0.366857  0.00374247
         323   -0.371016    -0.36687  0.00373091
         324   -0.367722   -0.366873  0.00371939
         325   -0.388134   -0.366938  0.00370852
         326    -0.39076   -0.367011  0.00369787
         327   -0.387647   -0.367074   0.0036871
         328   -0.427462   -0.367258  0.00368045
         329   -0.419007   -0.367416  0.00367262
         330   -0.432224   -0.367612  0.00366674
         331   -0.425216   -0.367786  0.00365979
         332   -0.414782   -0.367928   0.0036515
         333   -0.419795   -0.368083  0.00364386
         334   -0.430476    -0.36827  0.00363773
         335   -0.417235   -0.368416  0.00362981
         336    -0.42496   -0.368585  0.00362291
         337   -0.399665   -0.368677  0.00361333
         338   -0.417214    -0.36882  0.00360549
         339   -0.377214   -0.368845  0.00359494
         340   -0.402497   -0.368944  0.00358573
         341   -0.389702   -0.369005  0.00357573
         342   -0.366031   -0.368996  0.00356529
         343   -0.396307   -0.369076  0.00355578
         344   -0.419233   -0.369222  0.00354843
         345   -0.427433    -0.36939  0.00354216
         346   -0.422169   -0.369543   0.0035352
         347   -0.428988   -0.369714  0.00352916
         348   -0.455737   -0.369961  0.00352767
         349   -0.431968   -0.370139  0.00352203
         350   -0.463633   -0.370406  0.00352208
         351   -0.444412   -0.370617  0.00351835
         352   -0.455301   -0.370858  0.00351657
         353   -0.447932   -0.371076  0.00351338
         354   -0.405374   -0.371173   0.0035048
         355    -0.40548    -0.37127  0.00349625
         356    -0.38452   -0.371307  0.00348663
         357   -0.398143   -0.371382  0.00347768
         358   -0.399655   -0.371461  0.00346886
         359   -0.399166   -0.371538  0.00346005
         360   -0.417981   -0.371667  0.00345285
         361   -0.430283   -0.371829   0.0034471
         362    -0.40756   -0.371928  0.00343899
         363   -0.424826   -0.372074   0.0034326
         364   -0.430328   -0.372234   0.0034269
         365   -0.417254   -0.372357  0.00341973
         366   -0.456606   -0.372587  0.00341812
         367   -0.431296   -0.372747  0.00341255
         368   -0.433855   -0.372914  0.00340732
         369   -0.434659   -0.373081  0.00340219
         370   -0.407987   -0.373175   0.0033943
         371   -0.438213    -0.37335  0.00338968
         372   -0.438392   -0.373525  0.00338507
         373    -0.43667   -0.373695  0.00338023
         374   -0.427049   -0.373837   0.0033742
         375   -0.488444   -0.374143  0.00337901
         376   -0.486219   -0.374441  0.00338315
         377   -0.468384    -0.37469  0.00338334
         378   -0.465733   -0.374931  0.00338295
         379    -0.43265   -0.375083  0.00337745
         380   -0.410767   -0.375177  0.00336987
         381   -0.421518   -0.375299  0.00336321
         382   -0.441922   -0.375473  0.00335893
         383   -0.437714   -0.375636  0.00335409
         384   -0.453336   -0.375838  0.00335145
         385   -0.433868   -0.375989  0.00334613
         386   -0.415203    -0.37609  0.00333901
         387   -0.420461   -0.376205  0.00333235
         388   -0.395291   -0.376254  0.00332412
         389   -0.378526    -0.37626  0.00331558
         390   -0.418963    -0.37637  0.00330889
         391   -0.415818    -0.37647  0.00330196
         392   -0.414643   -0.376568  0.00329497
         393   -0.434071   -0.376714  0.00328984
         394   -0.432465   -0.376856  0.00328453
         395   -0.405512   -0.376928  0.00327702
         396   -0.417791   -0.377031  0.00327036
         397   -0.427431   -0.377158  0.00326459
         398   -0.380324   -0.377166   0.0032564
         399   -0.397691   -0.377218  0.00324864
         400   -0.396469   -0.377266  0.00324088
         401   -0.366753    -0.37724   0.0032329
         402   -0.345511   -0.377161  0.00322582
         403   -0.345415   -0.377082  0.00321878
         404    -0.35027   -0.377016   0.0032115
         405   -0.345559   -0.376938  0.00320451
         406   -0.348427   -0.376868  0.00319738
         407   -0.310932   -0.376706  0.00319363
         408   -0.318015   -0.376562  0.00318904
         409   -0.312844   -0.376406  0.00318504
         410   -0.307493   -0.376238  0.00318171
         411   -0.321321   -0.376104  0.00317677
         412   -0.319267   -0.375966  0.00317205
         413   -0.352793    -0.37591  0.00316487
         414   -0.349709   -0.375847  0.00315786
         415   -0.363226   -0.375817   0.0031504
         416   -0.399786   -0.375874  0.00314335
         417   -0.409555   -0.375955  0.00313685
         418   -0.394484   -0.375999  0.00312966
         419   -0.428923   -0.376126  0.00312474
         420   -0.438505   -0.376274  0.00312082
         421   -0.411195   -0.376357  0.00311451
         422   -0.421767   -0.376465  0.00310899
         423    -0.41244    -0.37655   0.0031028
         424   -0.383744   -0.376567  0.00309553
         425   -0.406775   -0.376638  0.00308906
         426   -0.414028   -0.376726  0.00308306
         427   -0.427102   -0.376844   0.0030781
         428   -0.429106   -0.376966  0.00307333
         429   -0.457061   -0.377152  0.00307183
         430    -0.43253   -0.377281  0.00306738
         431   -0.434133   -0.377413   0.0030631
         432   -0.406899   -0.377481  0.00305677
         433   -0.359142   -0.377439     0.00305
         434   -0.382695   -0.377451    0.003043
         435   -0.351277   -0.377391   0.0030366
         436   -0.382682   -0.377403  0.00302966
         437   -0.409695   -0.377477  0.00302363
         438   -0.393819   -0.377514  0.00301695
         439   -0.423958    -0.37762  0.00301194
         440   -0.421821    -0.37772  0.00300677
         441   -0.395396   -0.377761  0.00300022
         442   -0.430237   -0.377879  0.00299578
         443   -0.421151   -0.377977   0.0029906
         444   -0.459118    -0.37816  0.00298945
         445    -0.40917   -0.378229  0.00298354
         446   -0.437464   -0.378362  0.00297981
         447   -0.416335   -0.378447  0.00297435
         448   -0.403096   -0.378502  0.00296822
         449   -0.370112   -0.378484  0.00296167
         450   -0.384431   -0.378497  0.00295512
         451    -0.35327   -0.378441  0.00294909
         452   -0.380535   -0.378445  0.00294257
         453   -0.352499   -0.378388  0.00293664
         454   -0.377112   -0.378385  0.00293017
         455   -0.376427   -0.378381  0.00292373
         456   -0.381731   -0.378388  0.00291733
         457   -0.364539   -0.378358   0.0029111
         458   -0.388509    -0.37838  0.00290483
         459   -0.396364   -0.378419  0.00289877
         460   -0.398856   -0.378464  0.00289281
         461   -0.421469   -0.378557  0.00288803
         462   -0.445104   -0.378701  0.00288537
         463   -0.474964   -0.378909  0.00288662
         464    -0.45177   -0.379066  0.00288467
         465   -0.432705   -0.379181  0.00288077
         466   -0.456363   -0.379347  0.00287935
         467   -0.419997   -0.379434   0.0028745
         468   -0.441182   -0.379566  0.00287138
         469   -0.400257    -0.37961   0.0028656
         470   -0.404791   -0.379664     0.00286
         471   -0.405931    -0.37972  0.00285447
         472   -0.408411    -0.37978  0.00284907
         473   -0.385578   -0.379793  0.00284307
         474   -0.386991   -0.379808  0.00283712
         475   -0.363189   -0.379773  0.00283136
         476   -0.342989   -0.379696  0.00282647
         477   -0.363734   -0.379662  0.00282074
         478   -0.314249   -0.379525  0.00281815
         479    -0.35101   -0.379466   0.0028129
         480   -0.320446   -0.379343  0.00280973
         481   -0.336737   -0.379254  0.00280528
         482    -0.32411    -0.37914  0.00280179
         483   -0.358273   -0.379097  0.00279632
         484   -0.360301   -0.379058  0.00279082
         485   -0.370168   -0.379039  0.00278512
         486   -0.370302   -0.379021  0.00277945
         487   -0.370026   -0.379003   0.0027738
         488   -0.361829   -0.378968  0.00276834
         489   -0.364409   -0.378938  0.00276284
         490   -0.338291   -0.378855  0.00275845
         491   -0.349462   -0.378795  0.00275348
         492   -0.357559   -0.378752  0.00274822
         493   -0.335059   -0.378663  0.00274408
         494   -0.378889   -0.378664  0.00273852
         495    -0.36621   -0.378639   0.0027331
         496   -0.392531   -0.378667  0.00272774
         497   -0.402192   -0.378714  0.00272266
         498   -0.430135   -0.378817  0.00271915
         499   -0.418341   -0.378896  0.00271485
         500   -0.438833   -0.379016  0.00271207
