#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         243     1.86634     1.77446  0.00444861
         244     1.88773     1.77493  0.00445454
         245     1.84086      1.7752  0.00444447
         246      1.8256      1.7754  0.00443113
         247     1.82044     1.77558  0.00441694
         248     1.80136     1.77569  0.00440035
         249     1.82207     1.77587  0.00438662
         250     1.79791     1.77596  0.00436996
         251     1.80991      1.7761  0.00435464
         252     1.81738     1.77626  0.00434044
         253     1.80419     1.77637  0.00432469
         254     1.80039     1.77647  0.00430869
         255     1.79415     1.77654  0.00429235
         256     1.79037     1.77659  0.00427593
         257      1.7987     1.77668  0.00426016
         258     1.79154     1.77673  0.00424403
         259     1.80585     1.77685  0.00422913
         260     1.81288     1.77699  0.00421514
         261     1.78703     1.77702  0.00419916
         262     1.79724      1.7771  0.00418385
         263     1.78314     1.77712    0.004168
         264     1.81125     1.77725  0.00415422
         265     1.82479     1.77743  0.00414241
         266     1.81739     1.77758  0.00412956
         267     1.84484     1.77783  0.00412177
         268     1.85156     1.77811  0.00411556
         269      1.8316     1.77831  0.00410507
         270     1.86241     1.77862  0.00410166
         271      1.8423     1.77885  0.00409325
         272     1.83961     1.77908  0.00408429
         273      1.8461     1.77932   0.0040767
         274     1.83302     1.77952  0.00406653
         275     1.83581     1.77972   0.0040569
         276     1.84746     1.77997  0.00404961
         277     1.81214     1.78009  0.00403666
         278     1.85128     1.78034  0.00403025
         279     1.84382     1.78057  0.00402223
         280     1.85396     1.78083  0.00401639
         281     1.84057     1.78104  0.00400772
         282     1.85256      1.7813  0.00400152
         283     1.80526     1.78138  0.00398828
         284     1.82037     1.78152   0.0039766
         285     1.79026     1.78155  0.00396276
         286     1.80052     1.78162  0.00394946
         287      1.8033     1.78169  0.00393642
         288     1.79234     1.78173  0.00392293
         289     1.80898     1.78182  0.00391049
         290     1.81495     1.78194  0.00389867
         291      1.8172     1.78206  0.00388716
         292     1.83702     1.78225   0.0038784
         293     1.84936     1.78248  0.00387192
         294     1.90602      1.7829  0.00388149
         295     1.87832     1.78322  0.00388178
         296     1.89471      1.7836   0.0038869
         297     1.92513     1.78407  0.00390291
         298     1.89541     1.78445  0.00390766
         299     1.87795     1.78476  0.00390708
         300     1.88304     1.78509  0.00390777
         301     1.86442     1.78535  0.00390366
         302     1.86295     1.78561  0.00389919
         303     1.85029     1.78582  0.00389216
         304     1.83413     1.78598   0.0038826
         305     1.84189     1.78616  0.00387419
         306     1.84662     1.78636  0.00386657
         307      1.8333     1.78651  0.00385699
         308     1.84867     1.78672  0.00384975
         309     1.85643     1.78694  0.00384389
         310     1.82539     1.78707  0.00383349
         311     1.87027     1.78733  0.00383049
         312     1.83364     1.78748  0.00382109
         313      1.8579     1.78771   0.0038155
         314     1.81002     1.78778  0.00380401
         315     1.85943       1.788  0.00379873
         316     1.84962      1.7882  0.00379171
         317     1.85536     1.78841  0.00378566
         318     1.84953      1.7886  0.00377863
         319     1.84216     1.78877  0.00377051
         320     1.82166     1.78887  0.00376013
         321     1.82475     1.78899  0.00375008
         322     1.78356     1.78897  0.00373847
         323     1.79307     1.78898  0.00372692
         324     1.78977     1.78898  0.00371541
         325     1.81019     1.78905  0.00370455
         326     1.81282     1.78912  0.00369391
         327     1.80955     1.78919  0.00368314
         328     1.84957     1.78937  0.00367651
         329     1.84095     1.78953  0.00366868
         330     1.85452     1.78972  0.00366284
         331     1.84709      1.7899  0.00365587
         332     1.83693     1.79004  0.00364761
         333     1.84192     1.79019  0.00363998
         334     1.85271     1.79038  0.00363389
         335     1.83933     1.79053  0.00362598
         336     1.84709      1.7907  0.00361909
         337      1.8217     1.79079  0.00360952
         338     1.83945     1.79093  0.00360171
         339     1.79933     1.79096  0.00359117
         340     1.82456     1.79106  0.00358197
         341     1.81208     1.79112    0.003572
         342     1.78809     1.79111  0.00356157
         343      1.8183     1.79119  0.00355206
         344     1.84136     1.79133  0.00354473
         345     1.84951      1.7915  0.00353847
         346     1.84433     1.79165  0.00353153
         347     1.85091     1.79183  0.00352548
         348     1.87787     1.79207  0.00352401
         349     1.85418     1.79225   0.0035184
         350     1.88555     1.79252  0.00351843
         351     1.86684     1.79273  0.00351478
