#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         372     1.53257     1.71393   0.0113115
         373     1.54542     1.71347   0.0112902
         374      1.5618     1.71307   0.0112672
         375      1.5791     1.71271   0.0112429
         376     1.59483      1.7124   0.0112173
         377     1.60701     1.71212   0.0111911
         378     1.61421     1.71186   0.0111644
         379      1.6154      1.7116   0.0111379
         380     1.61002     1.71134   0.0111118
         381      1.5983     1.71104   0.0110866
         382      1.5817      1.7107   0.0110627
         383     1.56285     1.71032   0.0110406
         384     1.54476     1.70988   0.0110202
         385     1.52942     1.70942   0.0110016
         386     1.51702     1.70892   0.0109844
         387     1.50622     1.70839   0.0109685
         388     1.49518     1.70784   0.0109539
         389     1.48265     1.70727   0.0109411
         390     1.46861     1.70665   0.0109301
         391     1.45445     1.70601   0.0109212
         392     1.44259     1.70534    0.010914
         393     1.43576     1.70465   0.0109077
         394     1.43622     1.70397   0.0109013
         395     1.44521     1.70331   0.0108934
         396      1.4626     1.70271   0.0108828
         397     1.48675     1.70216    0.010869
         398     1.51477     1.70169   0.0108519
         399     1.54301     1.70129    0.010832
         400     1.56769     1.70096     0.01081
         401     1.58549     1.70067   0.0107869
         402     1.59398     1.70041   0.0107633
         403     1.59192     1.70014     0.01074
         404     1.57951     1.69984   0.0107176
         405     1.55868     1.69949   0.0106968
         406      1.5331     1.69908   0.0106783
         407     1.50785     1.69861   0.0106624
         408      1.4883     1.69809   0.0106487
         409     1.47861     1.69756   0.0106362
         410     1.48038     1.69703   0.0106234
         411     1.49245     1.69653   0.0106092
         412     1.51168     1.69608   0.0105929
         413      1.5343     1.69569   0.0105745
         414     1.55721     1.69536   0.0105543
         415     1.57858     1.69507   0.0105326
         416      1.5979     1.69484   0.0105099
         417     1.61541     1.69465   0.0104864
         418     1.63135      1.6945   0.0104624
         419     1.64529     1.69438   0.0104381
         420     1.65588     1.69429   0.0104136
         421     1.66108     1.69421   0.0103892
         422     1.65904     1.69413   0.0103649
         423     1.64926     1.69402    0.010341
         424     1.63367     1.69388   0.0103175
         425     1.61692      1.6937   0.0102949
         426     1.60535     1.69349   0.0102728
         427     1.60453     1.69328   0.0102508
         428     1.61634      1.6931   0.0102285
         429     1.63798     1.69297   0.0102054
         430     1.66375     1.69291   0.0101819
         431     1.68841      1.6929   0.0101583
         432     1.70897     1.69293   0.0101349
         433     1.72442     1.69301   0.0101117
         434     1.73463      1.6931   0.0100889
         435     1.73967     1.69321   0.0100662
         436        1.74     1.69332   0.0100437
