#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         453    0.844034    0.913145  0.00468192
         454    0.828245    0.912958  0.00467534
         455    0.819834    0.912753  0.00466954
         456    0.819968     0.91255  0.00466374
         457    0.825723     0.91236   0.0046574
         458    0.832511    0.912186  0.00465049
         459    0.837007    0.912022  0.00464324
         460    0.838116    0.911861  0.00463593
         461    0.836593    0.911698  0.00462875
         462    0.834252     0.91153  0.00462176
         463    0.833248    0.911361  0.00461487
         464    0.835479    0.911198  0.00460782
         465    0.841931    0.911049  0.00460032
         466    0.852192    0.910922  0.00459218
         467     0.86464    0.910823  0.00458342
         468     0.87717    0.910751  0.00457419
         469    0.888149    0.910703  0.00456469
         470    0.897031    0.910674  0.00455507
         471    0.904355    0.910661  0.00454542
         472    0.911201    0.910662  0.00453579
         473    0.918476    0.910678  0.00452623
         474    0.926464    0.910712   0.0045168
         475    0.934725    0.910762  0.00450758
         476    0.942361    0.910829   0.0044986
         477    0.948377    0.910907  0.00448985
         478    0.952086    0.910993  0.00448129
         479    0.953331    0.911082   0.0044728
         480      0.9525    0.911168  0.00446432
         481    0.950318     0.91125  0.00445578
         482    0.947327    0.911324  0.00444716
         483    0.943566    0.911391  0.00443845
         484     0.93862    0.911447  0.00442964
         485     0.93209     0.91149  0.00442071
         486    0.924282    0.911516  0.00441169
         487    0.916254    0.911526  0.00440265
         488     0.90938    0.911522  0.00439363
         489    0.904316    0.911507  0.00438467
         490     0.90054    0.911485  0.00437578
         491    0.896872    0.911455  0.00436696
         492      0.8923    0.911416  0.00435826
         493     0.88653    0.911365  0.00434971
         494    0.880037    0.911302  0.00434137
         495    0.873944    0.911226  0.00433326
         496    0.869649    0.911143  0.00432533
         497    0.868486    0.911057  0.00431748
         498    0.871117    0.910977  0.00430955
         499    0.877018    0.910909  0.00430146
         500    0.884575    0.910856  0.00429318
         501    0.891735    0.910818  0.00428478
         502    0.896777     0.91079  0.00427633
         503    0.898676    0.910766   0.0042679
         504    0.896878    0.910738  0.00425952
         505    0.891139    0.910699  0.00425126
         506    0.881589    0.910642  0.00424325
         507     0.86912     0.91056  0.00423567
         508    0.856059    0.910453  0.00422869
         509    0.846004    0.910326  0.00422228
         510    0.842226    0.910192  0.00421611
         511     0.84553    0.910066  0.00420976
         512    0.853668    0.909956  0.00420298
         513     0.86287    0.909864  0.00419578
         514    0.870022    0.909786  0.00418834
         515      0.8736    0.909716  0.00418079
         516    0.873584    0.909646  0.00417328
         517    0.870992    0.909571  0.00416588
         518    0.867455     0.90949  0.00415863
         519    0.864822    0.909404   0.0041515
         520    0.864743    0.909318  0.00414441
         521    0.867881    0.909239  0.00413722
         522    0.873475     0.90917  0.00412986
         523    0.879772    0.909114  0.00412235
         524    0.885167    0.909068  0.00411473
         525    0.888881     0.90903  0.00410707
         526    0.890853    0.908995  0.00409941
         527     0.89124    0.908961  0.00409177
         528    0.890149    0.908926  0.00408418
         529    0.887577    0.908885  0.00407666
         530    0.883335    0.908837  0.00406925
         531    0.877183    0.908778  0.00406202
         532    0.869038    0.908703  0.00405507
         533    0.859179     0.90861  0.00404853
         534    0.848295    0.908497  0.00404252
         535    0.837401    0.908364  0.00403715
         536    0.827737    0.908214  0.00403242
         537    0.820759    0.908051   0.0040282
         538    0.817732    0.907883  0.00402421
         539     0.81905    0.907718  0.00402012
         540    0.823764    0.907563  0.00401568
         541    0.830006    0.907419  0.00401081
         542    0.836003    0.907288  0.00400557
         543    0.840762    0.907165  0.00400007
         544    0.844117    0.907049   0.0039944
         545    0.846502    0.906938  0.00398861
         546    0.848548    0.906831  0.00398274
         547    0.851049    0.906729  0.00397676
         548    0.854831    0.906635  0.00397064
         549    0.860311     0.90655   0.0039643
         550    0.867106    0.906478  0.00395774
         551    0.874238     0.90642  0.00395099
         552    0.880924    0.906374   0.0039441
         553    0.887116    0.906339  0.00393712
         554    0.893347    0.906315  0.00393009
         555    0.900071    0.906304  0.00392302
         556    0.906872    0.906305  0.00391597
         557    0.912411    0.906316  0.00390895
         558    0.914928    0.906332  0.00390198
         559    0.913319    0.906344  0.00389502
         560    0.907913    0.906347  0.00388806
         561    0.900496    0.906336  0.00388115
         562    0.893752    0.906314   0.0038743
         563    0.890325    0.906286  0.00386753
         564    0.891909     0.90626  0.00386075
         565    0.898834    0.906247  0.00385394
         566    0.910031    0.906254  0.00384714
         567     0.92351    0.906284  0.00384047
         568    0.936855    0.906338  0.00383409
         569    0.947855    0.906411  0.00382805
         570     0.95486    0.906496  0.00382227
         571    0.956985    0.906584   0.0038166
         572    0.954041    0.906667  0.00381083
         573    0.946495    0.906737  0.00380481
         574    0.935344    0.906787  0.00379851
         575    0.922002    0.906813    0.003792
         576    0.908041    0.906815  0.00378542
         577    0.894884    0.906795  0.00377891
         578    0.883568    0.906754  0.00377259
         579    0.874568    0.906699  0.00376648
         580    0.867742    0.906632  0.00376059
         581    0.862469    0.906556  0.00375488
         582    0.857902    0.906472  0.00374936
         583    0.853262    0.906381  0.00374404
         584    0.848213    0.906281  0.00373895
         585    0.842925    0.906173  0.00373413
         586    0.838058    0.906057  0.00372957
         587    0.834433    0.905935  0.00372521
         588    0.832792     0.90581  0.00372095
         589    0.833756    0.905688  0.00371664
         590    0.837776    0.905573  0.00371213
         591    0.844981     0.90547  0.00370726
         592    0.854922    0.905385  0.00370198
         593    0.866504    0.905319  0.00369632
         594    0.878271    0.905274  0.00369038
         595    0.888879    0.905246  0.00368428
         596    0.897511    0.905233  0.00367812
         597    0.904039    0.905231  0.00367196
         598    0.908848    0.905237  0.00366582
         599    0.912603     0.90525  0.00365972
         600    0.915901    0.905267  0.00365367
         601    0.919095     0.90529  0.00364766
         602     0.92219    0.905318  0.00364171
         603    0.924972    0.905351  0.00363581
         604    0.927072    0.905387  0.00362997
         605    0.928203    0.905425  0.00362417
         606    0.928122    0.905462  0.00361838
         607    0.926732    0.905497  0.00361259
         608    0.924183    0.905528  0.00360678
         609    0.920994    0.905553  0.00360095
         610    0.917993    0.905574   0.0035951
         611    0.916087    0.905591  0.00358926
         612    0.915902    0.905608  0.00358343
         613    0.917474    0.905627  0.00357764
         614    0.920373    0.905651  0.00357189
         615    0.923849    0.905681  0.00356621
         616    0.926862    0.905715  0.00356058
         617    0.928332    0.905752    0.003555
         618    0.927418    0.905787  0.00354942
         619    0.923692    0.905816  0.00354381
         620    0.917279    0.905834  0.00353814
         621    0.908702    0.905839  0.00353244
         622    0.898729    0.905827  0.00352678
         623    0.888167    0.905799  0.00352124
         624    0.877741    0.905754  0.00351588
