#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         385    -4.88623      -5.072   0.0110439
         386    -4.87466    -5.07149   0.0110272
         387    -4.86452    -5.07095   0.0110116
         388    -4.85404    -5.07039   0.0109974
         389    -4.84106     -5.0698   0.0109849
         390     -4.8263    -5.06918   0.0109745
         391    -4.81269    -5.06852    0.010966
         392    -4.80184    -5.06784   0.0109591
         393    -4.79488    -5.06715   0.0109532
         394    -4.79561    -5.06646   0.0109471
         395    -4.80623     -5.0658   0.0109392
         396    -4.82477    -5.06519   0.0109285
         397    -4.84912    -5.06465   0.0109145
         398    -4.87723    -5.06418   0.0108972
         399    -4.90503    -5.06378   0.0108772
         400    -4.92885    -5.06344   0.0108552
         401    -4.94619    -5.06315   0.0108321
         402    -4.95343    -5.06288   0.0108086
         403    -4.95064     -5.0626   0.0107854
         404    -4.93767    -5.06229   0.0107631
         405    -4.91694    -5.06193   0.0107425
         406    -4.89089    -5.06151   0.0107243
         407    -4.86618    -5.06103   0.0107087
         408    -4.84792    -5.06051   0.0106952
         409     -4.8395    -5.05997   0.0106827
         410    -4.84191    -5.05943   0.0106698
         411    -4.85476    -5.05894   0.0106555
         412    -4.87416    -5.05849   0.0106391
         413    -4.89727     -5.0581   0.0106205
         414    -4.91993    -5.05776   0.0106001
         415    -4.94189    -5.05748   0.0105782
         416    -4.96114    -5.05725   0.0105553
         417    -4.97943    -5.05707   0.0105316
         418    -4.99535    -5.05692   0.0105075
         419    -5.00936     -5.0568    0.010483
         420    -5.01962    -5.05672   0.0104584
         421    -5.02395    -5.05664   0.0104339
         422    -5.02039    -5.05655   0.0104095
         423    -5.00939    -5.05644   0.0103855
         424    -4.99302    -5.05629   0.0103621
         425    -4.97641     -5.0561   0.0103394
         426    -4.96506    -5.05589   0.0103173
         427    -4.96578    -5.05568   0.0102953
         428    -4.97963     -5.0555   0.0102728
         429    -5.00244    -5.05538   0.0102496
         430    -5.02805    -5.05531    0.010226
         431    -5.05177    -5.05531   0.0102022
         432    -5.07105    -5.05534   0.0101787
         433    -5.08637    -5.05541   0.0101554
         434    -5.09586    -5.05551   0.0101325
         435    -5.09995    -5.05561   0.0101097
         436    -5.10036    -5.05571    0.010087
         437    -5.09717    -5.05581   0.0100644
         438    -5.09139    -5.05589   0.0100417
         439    -5.08463    -5.05595   0.0100191
         440    -5.07806      -5.056  0.00999643
         441    -5.07296    -5.05604  0.00997384
         442    -5.06966    -5.05607  0.00995132
         443    -5.06714     -5.0561  0.00992889
         444    -5.06581    -5.05612  0.00990655
         445    -5.06586    -5.05614  0.00988432
         446    -5.06573    -5.05616  0.00986218
         447    -5.06125    -5.05617  0.00984012
         448    -5.05192    -5.05616  0.00981816
         449    -5.03615    -5.05612  0.00979639
         450    -5.01375    -5.05603  0.00977508
         451    -4.98401    -5.05587  0.00975471
         452    -4.94773    -5.05563  0.00973606
         453    -4.90917     -5.0553  0.00971993
         454    -4.87781    -5.05491  0.00970638
         455    -4.86257    -5.05449  0.00969425
         456     -4.8646    -5.05407  0.00968193
         457    -4.87705    -5.05369  0.00966849
         458    -4.89052    -5.05333  0.00965394
         459    -4.89815    -5.05299  0.00963883
         460    -4.89993    -5.05266  0.00962362
         461    -4.89729    -5.05232  0.00960864
         462    -4.89279    -5.05198  0.00959404
         463    -4.89153    -5.05163  0.00957958
         464     -4.8974     -5.0513   0.0095647
         465    -4.91114      -5.051  0.00954888
         466    -4.93263    -5.05074  0.00953176
         467    -4.95823    -5.05054  0.00951341
         468    -4.98318     -5.0504  0.00949417
         469    -5.00474     -5.0503  0.00947443
         470    -5.02265    -5.05024  0.00945445
         471     -5.0387    -5.05022  0.00943441
         472    -5.05364    -5.05023  0.00941443
         473    -5.06939    -5.05027  0.00939461
         474    -5.08614    -5.05034  0.00937509
         475    -5.10354    -5.05046  0.00935603
         476     -5.1192     -5.0506  0.00933749
         477    -5.13128    -5.05077  0.00931944
         478    -5.13783    -5.05095  0.00930172
         479    -5.13904    -5.05113  0.00928412
         480    -5.13704    -5.05131  0.00926651
         481    -5.13169    -5.05148  0.00924875
         482    -5.12523    -5.05163  0.00923083
         483    -5.11789    -5.05177  0.00921273
         484    -5.10744    -5.05189  0.00919442
         485    -5.09425    -5.05197  0.00917587
