#     GENERATION:   L1:   BEST HALF <L1>:
         470     127.259     128.085
         471     127.259     128.234
         472     127.259     127.354
         473     127.259     127.285
         474     127.259     127.277
         475     127.259     127.259
         476     127.259     127.259
         477     127.259     127.259
         478     127.259     127.259
         479     127.259     127.259
         480     127.259     127.259
         481     127.259     127.259
         482     127.259     127.259
         483     127.259     127.259
         484     127.259     127.259
         485     127.259     127.259
         486     127.259     127.259
         487     127.259     127.259
         488     126.374     127.223
         489     126.374     127.027
         490     125.474     126.713
         491     125.474     126.125
         492     124.776     125.884
         493     124.776     125.347
         494     123.272     125.112
         495     123.131     124.597
         496     123.131     124.216
         497     123.131     124.039
         498     123.131     123.793
         499     123.131     123.452
         500     123.131     123.141
         501     123.131     123.131
         502     123.131     123.131
         503     123.131     123.131
         504     123.131     123.131
         505     123.131     123.131
         506     121.285     123.094
         507     121.285     122.929
         508     121.285     122.756
         509     121.285     122.249
         510     121.285     121.843
         511     121.285     121.487
         512     120.947     121.583
         513     120.947     121.799
         514     120.947     121.618
         515     120.947     121.497
         516     120.947     122.624
         517     120.947     123.611
         518     120.947     124.389
         519     120.947     122.524
         520     120.947     121.361
         521     120.947     121.719
         522     120.947     120.953
         523     120.947     120.947
         524     120.147     120.945
         525     120.147     121.233
         526     119.904     121.095
         527     119.904     122.144
         528     119.904     121.921
         529     119.904      121.26
         530     119.904     121.653
         531     119.904     121.721
         532     119.904     120.008
         533     119.904     119.904
         534     119.904     119.904
         535     119.904     119.904
         536     119.904     119.904
         537     119.904     119.904
         538     119.904     119.904
         539     119.902     119.904
         540     119.902     119.903
         541     119.159     119.949
         542     119.159     119.821
         543     119.159     119.627
         544     119.158     119.415
         545     119.158     119.228
         546     119.158     119.165
         547     119.158     119.158
         548     119.158     119.158
         549     119.158     119.158
         550     118.998     119.152
         551     118.998     119.135
         552     118.998     119.086
         553      118.98     119.066
         554     118.582     119.033
         555     118.056     118.964
         556     118.056     119.089
         557     118.056     119.172
         558     118.056     118.823
         559     118.056     118.465
         560     118.056      118.09
         561     118.039     118.258
         562     118.039     118.072
         563      116.62     118.022
         564      116.62     117.974
         565      116.62     117.729
         566     116.603      117.31
         567     116.603     116.852
         568     116.603     116.611
         569     116.603     116.606
         570     116.603     116.603
         571     116.603     116.603
         572     116.603     116.603
         573     116.603     116.603
         574     116.603     116.603
         575     116.603     116.603
         576     116.603     116.603
         577     116.603     116.603
         578     116.603     116.603
         579     116.603     116.603
         580     116.603     116.603
         581     116.603     116.603
         582     116.603     116.603
         583     116.603     116.603
         584     116.603     116.603
         585     116.603     116.603
         586     116.565     116.602
         587     116.565     116.597
         588     116.565     116.581
         589     116.565     116.747
         590     116.565     116.604
         591     116.565     116.898
         592     116.565     117.583
         593     116.565     117.416
         594     115.489     116.543
         595     114.698      116.42
         596     114.698     116.153
         597     114.698     115.469
         598     114.698      115.35
         599     114.698     114.917
         600     114.698     114.698
         601     114.698     114.733
         602     114.698     114.698
         603     114.698     114.698
         604     114.698     114.698
         605     114.698     114.698
         606     114.698     114.698
         607     114.698     114.698
         608     114.698     114.698
         609     113.965     114.683
         610     112.923     114.486
         611     112.923     114.123
         612     112.923     113.778
         613     112.923     113.163
         614     112.923     113.464
         615     112.923     113.365
         616     112.923     113.462
         617     112.923     112.923
         618     112.923     112.923
         619     112.923     112.923
         620     111.209     112.888
         621     111.209     112.717
         622     111.209     112.031
         623      110.96     111.547
         624      110.96     111.159
         625      110.96     111.059
         626     110.463      110.99
         627      109.62     110.935
         628     109.123     110.646
         629     109.123     110.171
         630     108.819     109.808
         631     108.819     109.355
         632     108.819     109.027
         633     108.819      108.91
         634     108.819     108.831
         635      108.71     108.817
         636      108.71     108.806
         637      108.71     108.778
         638      108.71     108.725
         639      108.71      108.71
         640      108.71      108.71
         641      108.71      108.71
         642      108.71      108.71
         643      108.71      108.71
         644      108.71      108.71
         645      108.71      108.71
         646     108.675     108.709
         647     108.675     108.707
         648     108.377     108.689
         649     108.377     108.641
         650     108.342     108.584
         651     108.342     108.707
         652     108.342     108.639
         653     108.342     108.597
         654     108.101     108.338
         655     108.101     108.318
         656     108.101      108.27
         657     108.101     108.458
         658     108.101     109.027
         659     108.101     108.304
         660     108.101     108.106
         661     107.963     108.424
         662     107.963     108.087
         663     107.963     108.063
         664     107.963     108.007
         665     107.954     107.977
         666     107.954     107.963
         667     107.816     107.956
         668     107.816     107.938
         669     107.816     107.915
         670     107.816     107.855
         671     107.017     107.825
         672     107.017      107.74
         673     107.017     107.554
         674     107.017     107.336
         675     106.953     107.207
         676     106.478     106.998
         677     106.478     106.878
         678     106.478     106.775
         679     106.478     106.583
         680     106.478     106.478
